지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,2015-01-01,-4.6,-7.9,-1.8,,6.1,2.2,23,31.6,8.9,
90,속초,2015-01-02,-2.9,-5.4,.9,,11.5,3.4,24,30.4,7.7,
90,속초,2015-01-03,1.1,-7.2,6.9,,7.2,2.5,16,32.5,8.9,
90,속초,2015-01-04,5.8,1.9,10.4,,6.5,2.2,36,50.8,8.7,
90,속초,2015-01-05,7.3,2.2,12.2,,7.6,2.4,20,45.8,3.9,
90,속초,2015-01-06,3.4,-2.4,8.6,0,5.4,3,21,38.6,8.5,
90,속초,2015-01-07,-2.2,-6.7,3.1,,4.4,2.2,19,28.4,9.1,
90,속초,2015-01-08,-.5,-4.9,5.3,,3.3,1.5,18,30.9,9,
90,속초,2015-01-09,1.5,-2.7,6.3,,6.1,2.2,19,27,9,
90,속초,2015-01-10,3.1,-.5,6.4,,8.3,2.8,23,35.1,9.1,
90,속초,2015-01-11,1.8,-1.3,4.6,0,8.1,3.7,34,62.4,5.8,
90,속초,2015-01-12,-.2,-4.7,4.9,,3.9,1.5,24,40.5,9,
90,속초,2015-01-13,3.2,-3,8.3,,2.6,1.3,24,33.8,8.7,
90,속초,2015-01-14,4.8,-.4,8,,6,2.1,22,46.9,.2,
90,속초,2015-01-15,3.4,1.1,4.8,.5,3.3,1.7,72,86.6,0,
90,속초,2015-01-16,2.9,0,7.2,,8.4,2.8,44,63.6,6.4,
90,속초,2015-01-17,.8,-3.4,5.3,,4.8,2.2,18,32,9,
90,속초,2015-01-18,2.8,-.3,6.1,,7.5,2.4,17,38.1,4,
90,속초,2015-01-19,3.4,.1,7,0,5.9,2.8,33,46.6,8.6,
90,속초,2015-01-20,1.3,-2.8,5.9,,3.3,1.4,35,56,7.9,
90,속초,2015-01-21,2.4,-1.3,5,,3.2,1.6,61,75.3,2.2,
90,속초,2015-01-22,2.2,.8,4.5,4,6.3,2.9,71,88.1,0,
90,속초,2015-01-23,2.8,-2.5,7.3,,4.1,1.8,43,60.5,9.1,
90,속초,2015-01-24,5.1,1,9.3,,6.2,1.9,34,46.1,9.1,
90,속초,2015-01-25,3.5,.6,5.9,1.5,5.1,1.9,52,75.6,0,
90,속초,2015-01-26,4.5,1.6,8.2,1,6.2,1.8,47,88.9,0,
90,속초,2015-01-27,.3,-3.7,6.1,1.2,8.4,2.7,54,82.3,1.1,
90,속초,2015-01-28,-1.6,-4.5,.8,.5,5.6,2,64,77.9,3.7,
90,속초,2015-01-29,.1,-2.7,2.1,,3.4,1.5,60,70.9,0,
90,속초,2015-01-30,1.1,-2.8,4,,7.1,3,27,39,9,
90,속초,2015-01-31,-1.9,-4.5,1.1,,4.4,2.2,42,56.5,9,
90,속초,2015-02-01,-.4,-4.4,3.8,,3.7,1.8,30,46.4,9.6,
90,속초,2015-02-02,.2,-3.3,3.9,,3.2,1.8,41,67.8,6.1,
90,속초,2015-02-03,1.1,-3,4.6,,3.1,1.7,66,81.4,6,
90,속초,2015-02-04,1.3,-2.4,4.4,.4,6.3,2.2,63,83.1,6.5,
90,속초,2015-02-05,.9,-2.5,3.7,7.5,4.9,1.8,63,82.3,4.9,
90,속초,2015-02-06,3.2,-2.4,7.1,,3.3,1.6,32,49.3,9.6,
90,속초,2015-02-07,4.4,.8,7.1,,6.5,2.9,33,44.3,1.8,
90,속초,2015-02-08,-4.9,-8.6,3.9,,7.7,3.5,19,26.5,9.8,
90,속초,2015-02-09,-3.1,-10.4,1.3,,9.1,4.4,19,29.6,9.9,
90,속초,2015-02-10,3.6,-.9,6.5,,7.7,4,31,43.1,9.5,
90,속초,2015-02-11,4.4,.4,9.2,,6,3,22,44.3,9.6,
90,속초,2015-02-12,.2,-2.7,4.2,,8.7,3.4,18,29,10.1,
90,속초,2015-02-13,1.1,-3.7,5.7,,5.6,3.1,20,26,10.3,
90,속초,2015-02-14,6,-1,9.1,,6.5,3.4,28,42.9,9.4,
90,속초,2015-02-15,6.5,3.8,9.3,,4.7,1.7,44,72,2.6,
90,속초,2015-02-16,4,1.9,6.2,16,4.6,1.6,76,97,0,
90,속초,2015-02-17,2.3,1.1,3.8,4,7.8,2.7,77,95.3,2.2,
90,속초,2015-02-18,2.9,1.2,5.1,1,3.5,1.6,68,78.3,2.6,
90,속초,2015-02-19,1.2,-1.2,3.7,2.2,3.5,1.5,79,94.6,1.5,
90,속초,2015-02-20,3.4,-2.5,8.1,,5.2,2,58,80,9.8,
90,속초,2015-02-21,3.5,2.5,5,1,4.2,1.4,78,89.6,0,
90,속초,2015-02-22,6.3,2.8,14.5,,9.5,3,30,64.4,7.9,
90,속초,2015-02-23,4.8,1.5,8.7,,7.1,4,26,37.3,8.6,
90,속초,2015-02-24,3.2,-.3,7.1,,5.7,2,30,52.1,10,
90,속초,2015-02-25,4,-.2,7.4,0,4.5,1.8,45,70,8.4,
90,속초,2015-02-26,4.5,-1,8.6,,9.6,4,25,43.4,10,
90,속초,2015-02-27,-.6,-3.3,3.2,,5.6,2.5,29,41.6,9.6,
90,속초,2015-02-28,3.3,-2.4,6.8,,4.4,1.7,34,51.6,3,
90,속초,2015-03-01,5.3,2.9,8.3,,7.3,3.2,32,41.8,9.4,
90,속초,2015-03-02,6.2,.8,11.5,,4.4,2,21,36,10.5,
90,속초,2015-03-03,5.4,3.7,7.5,,4.8,1.7,41,58.1,1.4,
90,속초,2015-03-04,.4,-2.7,4.3,,10.6,5.3,23,34.8,10.7,
90,속초,2015-03-05,0,-3.7,4,,4.7,1.9,27,46.4,10.3,
90,속초,2015-03-06,1.6,-3.9,6.3,,3.3,1.5,45,71.6,8.3,
90,속초,2015-03-07,4.3,-2.1,8.8,,4.2,1.8,45,66.5,10.7,
90,속초,2015-03-08,5.4,.8,9.1,,3.2,1.2,41,70.4,9,
90,속초,2015-03-09,5.1,-2.5,11.9,,7.3,3.1,20,47.9,7.4,
90,속초,2015-03-10,-1.1,-5,3.6,,7.9,4.4,17,24.3,10.8,
90,속초,2015-03-11,2.2,-1.9,6.3,0,8.5,4.9,19,31,11.1,
90,속초,2015-03-12,4,-1.2,9,,7.9,4,18,28.3,11.1,
90,속초,2015-03-13,4.2,-.6,8.1,,5,2.2,28,51.1,10.9,
90,속초,2015-03-14,3.6,-.9,7.7,,4,1.9,31,58.4,10.8,
90,속초,2015-03-15,7.2,-.4,15.6,,6.7,1.9,18,54.4,8,
90,속초,2015-03-16,7,1.1,13.2,,5.5,2,51,71.9,10.6,
90,속초,2015-03-17,11,6,17.5,,6.9,2.4,34,53.6,2.6,
90,속초,2015-03-18,5.1,4.2,6.4,2.5,6,2.9,77,88.5,0,
90,속초,2015-03-19,6.2,4.3,9,,3.6,1.6,52,79,6.4,
90,속초,2015-03-20,7.5,3.8,10.2,,4.2,1.8,60,85.3,8.8,
90,속초,2015-03-21,10,2.8,18.8,,4.9,1.8,20,69.9,9.3,
90,속초,2015-03-22,10.7,6.1,17.5,,9.5,3.2,12,31.1,11.1,
90,속초,2015-03-23,5.2,.2,11.5,,9.3,4.2,15,33.3,10.7,
90,속초,2015-03-24,3.8,-.1,8.6,,3.4,1.9,26,47.8,11.3,
90,속초,2015-03-25,4.1,-1.6,8.6,,3.4,1.4,39,70.6,11.5,
90,속초,2015-03-26,12.2,2.4,16.6,,5.1,2.1,20,32.1,11.7,
90,속초,2015-03-27,15.8,10.2,21.4,,5.8,2.7,17,26.3,11.6,
90,속초,2015-03-28,15.1,10.5,19.3,,5,2.8,13,22.1,9.8,
90,속초,2015-03-29,11.2,5.7,18.1,,4.4,2,30,59.3,9.5,
90,속초,2015-03-30,11.4,4.5,18.3,,4.6,1.6,23,69.1,10.6,
90,속초,2015-03-31,14.4,8.7,18.1,5.5,6.5,2.1,23,64.3,0,
90,속초,2015-04-01,6.7,5.7,9,11,7.1,2.3,83,96.5,2.4,
90,속초,2015-04-02,6.3,3.4,8.9,13,6.1,2,88,97.8,.2,
90,속초,2015-04-03,7.5,5.3,11.3,6.5,8.6,2.8,72,91.3,5.9,
90,속초,2015-04-04,6.7,3.9,9.5,,3.6,1.4,69,83.6,2.6,
90,속초,2015-04-05,6.1,5.6,7.4,.1,4.4,2,78,86.8,0,
90,속초,2015-04-06,6.6,4.1,10.1,0,4.4,1.6,77,92.5,2.3,
90,속초,2015-04-07,3.1,1.9,5.5,1.5,4.8,1.9,68,87,0,
90,속초,2015-04-08,4.5,2.2,7.9,2,3.5,1.7,83,96.5,3.1,
90,속초,2015-04-09,6,1.2,9.5,,4.8,1.9,78,90.6,11.4,
90,속초,2015-04-10,9,3.8,13.4,,4.1,2,42,65.8,11.5,
90,속초,2015-04-11,6.8,4.3,9.3,,4.4,1.9,69,91.3,7.4,
90,속초,2015-04-12,6.3,4.3,7.9,0,5.9,2.5,100,100,0,
90,속초,2015-04-13,6.1,5.2,7.1,.1,7,3.7,92,98.4,0,
90,속초,2015-04-14,6,3.5,8.5,10.5,4.4,1.4,68,94,0,
90,속초,2015-04-15,13.6,4.1,19,0,8.2,2.3,33,57.5,11.4,
90,속초,2015-04-16,11.2,8.4,17.3,1,10.1,3.7,36,65.1,2.4,
90,속초,2015-04-17,15.1,10.4,20.5,,10.1,5,17,23.8,11,
90,속초,2015-04-18,16.1,10.5,22,,6.5,2.8,16,29.6,10.9,
90,속초,2015-04-19,10.7,7,17,7.5,5.7,2.5,31,74.3,0,
90,속초,2015-04-20,8.1,4.4,11.2,21,6.8,2.3,72,95.9,2.6,
90,속초,2015-04-21,14.9,3.7,24.1,,6.2,1.9,18,47.9,12.7,
90,속초,2015-04-22,15.4,11.4,21.4,,7.8,2.6,17,36.5,5.6,
90,속초,2015-04-23,18.9,10.4,24.8,,5.4,2.3,16,25.1,11.7,
90,속초,2015-04-24,15.8,10.4,19,,6,2.5,20,31.4,12.3,
90,속초,2015-04-25,16.7,8.1,23.1,,5.9,2.6,18,34.9,12.4,
90,속초,2015-04-26,25,19.9,29,,10.2,5.3,22,27.3,12.3,
90,속초,2015-04-27,25.1,20,29.8,,7.4,3.7,19,26.1,12.2,
90,속초,2015-04-28,17.6,10.5,23.7,,5.2,2.3,20,42.1,9.5,
90,속초,2015-04-29,9.4,8,11.1,,3.4,1.7,74,89.5,1.5,
90,속초,2015-04-30,10.6,7,13.7,,4.7,1.9,77,95.6,10.1,
90,속초,2015-05-01,14,9.5,18.8,,4.5,1.3,59,,12,
90,속초,2015-05-02,16,10.5,21.8,1,4,1.4,58,84.5,9.3,
90,속초,2015-05-03,16.2,13,20,3,4.1,1.3,91,99.4,.3,
90,속초,2015-05-04,15.4,10.9,21.4,,5.6,2.2,28,67.4,12.5,
90,속초,2015-05-05,19.1,11.8,25.5,,6.6,2.6,17,25.4,13.1,
90,속초,2015-05-06,17.8,13.1,21.4,,6.6,2.6,24,40.4,1.7,
90,속초,2015-05-07,13.3,10.8,18.8,,6,2.5,35,68.6,9.1,
90,속초,2015-05-08,16.6,10,20.3,,5.2,1.8,33,52.1,3.1,
90,속초,2015-05-09,13.4,9.6,20.2,,6.5,2.6,50,73.8,11.2,
90,속초,2015-05-10,11,7.8,14.7,,3.9,1.8,71,88.5,3.9,
90,속초,2015-05-11,11.6,7.9,15.8,3,3.5,1.5,73,91.4,7.7,
90,속초,2015-05-12,16.3,11.2,20.7,1.5,7.1,3.7,34,60.5,10.8,
90,속초,2015-05-13,22.9,15,28.9,,8.7,4.8,22,34.3,12.4,
90,속초,2015-05-14,18.5,11.8,24.6,,6.5,2.7,25,53.4,8.3,
90,속초,2015-05-15,11.2,10.2,13.9,0,5.4,2.7,77,91.6,5.5,
90,속초,2015-05-16,18.5,10.1,27.8,.1,8.6,3.5,15,53.1,12.9,
90,속초,2015-05-17,21.1,17.4,26.5,,7.1,2.3,16,28.8,13.5,
90,속초,2015-05-18,20.9,15.6,24.3,,4.8,1.8,22,34,2.8,
90,속초,2015-05-19,19.2,15.6,25.3,.5,6.3,3.4,34,54.1,11.3,
90,속초,2015-05-20,16.3,13.3,19.3,,5.7,2.1,36,50.4,13.8,
90,속초,2015-05-21,24,13.2,29.8,,10.3,3.6,20,31.1,13.6,
90,속초,2015-05-22,26.3,22.8,30.7,,10.3,6,20,26.4,13.5,
90,속초,2015-05-23,23,17.8,28.1,,3.9,2,26,34.9,13,
90,속초,2015-05-24,21.4,15.7,26.1,,3.7,1.4,27,44.8,13.8,
90,속초,2015-05-25,19.2,13.7,25.7,,4.6,1.9,33,56.5,13.9,
90,속초,2015-05-26,23.3,14.1,32.6,,7.3,2,20,47,13.4,
90,속초,2015-05-27,15.2,12.8,18.4,,6.5,2.4,76,91.9,10.3,
90,속초,2015-05-28,15.9,14.3,18.7,,4.6,2,77,94.6,4.4,
90,속초,2015-05-29,19.3,14.2,22.7,,3.2,1.3,63,78.4,9,
90,속초,2015-05-30,19,14.2,25.8,.1,5.1,1.6,41,71.9,4.6,
90,속초,2015-05-31,17.4,12.7,22.2,,5.9,2.2,55,85.4,13.9,
90,속초,2015-06-01,24.5,14.9,30.1,,5.7,2.7,19,41,13.4,
90,속초,2015-06-02,21.7,18.5,29.5,,4.4,1.7,31,54.9,11.9,
90,속초,2015-06-03,21.4,17.8,25.9,,9.1,3.3,25,43.9,13.7,
90,속초,2015-06-04,22.8,17.1,27.4,,6.1,2.7,25,40.8,12.9,
90,속초,2015-06-05,17.8,14.6,23.1,2,3.3,1.5,33,76,.4,
90,속초,2015-06-06,17.2,12.9,21.1,,4.8,2.2,50,78.8,13.3,
90,속초,2015-06-07,17.3,14.2,22.5,,4.9,1.8,62,84.1,4.6,
90,속초,2015-06-08,18,15.1,22.3,,5.2,1.6,57,83.5,5.1,
90,속초,2015-06-09,20.4,12.7,24.6,,4.6,1.8,51,69.5,13.3,
90,속초,2015-06-10,22.3,17.7,27.1,,5.2,2.5,39,61.8,13.4,
90,속초,2015-06-11,18.8,16.2,21.7,.2,4.6,2,71,93.9,7.7,
90,속초,2015-06-12,16.9,15.7,18.5,1.5,7.4,3.5,81,95.4,.2,
90,속초,2015-06-13,17.1,15.8,20,1.5,6.4,1.6,79,96.9,.4,
90,속초,2015-06-14,17.8,16.1,22.1,2.5,4.6,1.4,74,97.1,4.4,
90,속초,2015-06-15,17.9,15.6,20.5,,4.1,1.9,91,99.6,6.1,
90,속초,2015-06-16,18.3,16.8,20.4,,3,1.4,91,98.9,3.6,
90,속초,2015-06-17,19.3,17.1,21.9,,3,1.2,77,96.3,0,
90,속초,2015-06-18,18.9,17.8,20.1,1,5.4,2.1,93,100,0,
90,속초,2015-06-19,17.7,15.7,19.8,,4.4,2.1,75,90,.9,
90,속초,2015-06-20,18.2,14.4,21.5,,3.5,1.6,67,86.4,8.4,
90,속초,2015-06-21,20,16.2,23.9,,5.1,2.1,64,85.4,13.2,
90,속초,2015-06-22,19.9,16.3,23.6,,5.1,1.7,77,92.4,12.2,
90,속초,2015-06-23,20.3,18.5,24.5,,4,2,66,86.9,3.4,
90,속초,2015-06-24,20.9,19.3,23.7,,3.2,1.7,72,91.1,5,
90,속초,2015-06-25,20.7,19.7,23.3,.5,4,2,83,96.1,2.5,
90,속초,2015-06-26,18.5,16.8,20.1,114.5,10.1,4.4,96,100,0,
90,속초,2015-06-27,18.8,17.4,22.4,1.5,4.3,2.1,73,89.8,4,
90,속초,2015-06-28,19.4,17.9,21.3,,4.8,2.6,75,87.9,6.2,
90,속초,2015-06-29,21.3,16.7,26.9,,4.2,2.1,54,84.6,10.8,
90,속초,2015-06-30,19.7,17.6,26.8,2.5,3.9,1.8,55,92.4,0,
90,속초,2015-07-01,22,17.3,29.6,7.5,4.9,2.6,34,75.8,12.6,
90,속초,2015-07-02,22.8,19.6,29.1,2,5.7,2,37,59.3,8,
90,속초,2015-07-03,19.9,16.9,22.5,11,9.3,2.3,56,83.3,10.8,
90,속초,2015-07-04,19.5,16.5,22.6,0,3.9,1.9,68,83.6,12.2,
90,속초,2015-07-05,19.7,15.4,22.8,,4.5,2.3,74,86.9,12.7,
90,속초,2015-07-06,20.2,17,23.8,,4.8,2.3,73,87.9,12.1,
90,속초,2015-07-07,19.5,14.8,22.7,,4,1.9,69,88.4,5.9,
90,속초,2015-07-08,19.2,18.3,20.5,11,3.5,1.1,89,98.6,0,
90,속초,2015-07-09,20.1,18.2,22.5,1.5,3.3,1.2,84,95.3,.9,
90,속초,2015-07-10,21.3,18.1,24.2,,3.8,2.2,82,93.3,9.6,
90,속초,2015-07-11,21.9,20.5,24.3,,4.3,1.9,83,96.9,8.3,
90,속초,2015-07-12,21.3,20.1,23.3,24,6.2,1.7,100,100,0,
90,속초,2015-07-13,27.2,20,32.5,,7.3,3.1,50,67.5,10.7,
90,속초,2015-07-14,26.2,22.2,33.9,2,6.8,2.7,38,66.5,12.5,
90,속초,2015-07-15,21.4,19.9,25.1,,5.6,2.9,76,85.8,3.2,
90,속초,2015-07-16,19.8,18.3,20.7,.4,4.8,3.1,72,81.5,.5,
90,속초,2015-07-17,19.8,17.3,21.7,0,5.8,2.8,57,70.8,4.9,
90,속초,2015-07-18,21.4,19.4,23.9,.1,3.2,1.6,57,74,1.7,
90,속초,2015-07-19,20.3,19.1,23,6.5,4,1.7,66,90.1,1.7,
90,속초,2015-07-20,20.2,18.1,23.8,5,2.6,1.1,70,93.8,5.6,
90,속초,2015-07-21,20.8,18.1,23.5,.1,3.1,1.3,79,95.1,1.5,
90,속초,2015-07-22,21.8,20.1,24.4,0,3.4,1.6,88,99.4,5.8,
90,속초,2015-07-23,23.7,21.5,27.8,26,3.9,1.5,55,97.9,6.8,
90,속초,2015-07-24,23.6,22.5,25,48,3.5,1.3,100,100,.3,
90,속초,2015-07-25,23.1,22,25.3,15,5.9,1.6,100,100,0,
90,속초,2015-07-26,26.2,22,30.8,.1,3.7,1.4,61,88.4,3.6,
90,속초,2015-07-27,28.4,24.1,33.9,,3.5,1.6,48,69.4,10.5,
90,속초,2015-07-28,28.3,24.4,32.5,,4.5,1.6,54,70,8.8,
90,속초,2015-07-29,25,23.3,27.2,2.6,3.8,1.1,67,89.6,,
90,속초,2015-07-30,28.9,24.3,31.9,,5.9,1.9,56,72.8,,
90,속초,2015-07-31,29.4,23.7,35.4,.3,6,2.7,43,65.6,,
90,속초,2015-08-01,24,22.1,28.2,22,4.6,1.6,87,92.4,,
90,속초,2015-08-02,24.3,22.1,27.9,2.6,4.5,1.1,89,92.3,,
90,속초,2015-08-03,27.6,24.5,31.2,0,3.2,1.2,63,82.6,,
90,속초,2015-08-04,29.1,25.3,32.5,,3.9,1.7,52,66.1,,
90,속초,2015-08-05,27.2,24,33,,4.2,1.6,49,76.6,5.7,
90,속초,2015-08-06,27.6,23.5,31.2,,3.7,1.6,60,80.5,12.5,
90,속초,2015-08-07,26,23.1,29.3,,3.3,1.3,87,91.1,8.4,
90,속초,2015-08-08,25,21.5,29.4,16.9,3.2,1.2,84,91.4,5.5,
90,속초,2015-08-09,26.8,21.4,30.6,,3.5,1.5,58,76.6,10,
90,속초,2015-08-10,27.3,23.9,31.4,,3.6,1.6,54,72.6,9.2,
90,속초,2015-08-11,25.7,22.3,28.8,,6.2,1.6,68,83.4,8.8,
90,속초,2015-08-12,24.3,20.7,27.2,,5.4,1.6,76,86.4,12,
90,속초,2015-08-13,23.7,19.5,28.2,59,6.4,1.7,74,85.6,9.7,
90,속초,2015-08-14,23,19.7,26.9,.6,2.1,1.2,70,86.4,8.2,
90,속초,2015-08-15,24.7,21,28.1,,4.6,1.8,71,86.6,10.7,
90,속초,2015-08-16,23.1,19.1,28.2,25.1,4.2,1.5,84,91,2.8,
90,속초,2015-08-17,23.8,19.5,26.7,.7,5.9,2.4,73,85.6,9.2,
90,속초,2015-08-18,24,20.7,27.5,1.4,2.7,1.4,71,84.6,9.8,
90,속초,2015-08-19,23.6,19.6,27.4,,3.8,1.7,71,86.4,1.3,
90,속초,2015-08-20,23.8,21.9,27.1,0,2.4,.9,84,90.9,2.7,
90,속초,2015-08-21,23.3,20.6,27.1,0,3.2,1.1,69,86.1,4.2,
90,속초,2015-08-22,23.8,20,28,,4,1.3,64,84.8,9.4,
90,속초,2015-08-23,24,20,26.9,,4.7,1.7,67,85,9.2,
90,속초,2015-08-24,23.1,21.1,26.6,19.6,7,3.1,79,88.5,1.5,
90,속초,2015-08-25,20.8,19.2,22.6,41.5,10.7,8.1,83,91.1,0,
90,속초,2015-08-26,19.2,16.1,22,1.6,10.2,3.9,56,80.5,3.7,
90,속초,2015-08-27,23.9,17.2,30,,5.6,1.9,27,55.8,11.2,
90,속초,2015-08-28,22.4,18.1,26.3,,4.8,1.8,35,61.3,7,
90,속초,2015-08-29,22.1,17.6,26.9,,3.6,1.3,55,83,12.4,
90,속초,2015-08-30,21.7,18.3,25.1,,2.6,1.4,84,89.8,5.7,
90,속초,2015-08-31,21.7,19.2,24.6,7.6,2.7,1.1,87,91.3,2.7,
90,속초,2015-09-01,21.1,18.6,22.8,1,3.7,1.8,90,92.5,.1,
90,속초,2015-09-02,21.2,17.6,24.6,2.6,5.2,2,80,89.9,7.7,
90,속초,2015-09-03,21.6,18,27.1,1.2,2.8,1.4,55,82.4,7.6,
90,속초,2015-09-04,21.5,17.8,25.7,,3.3,1.9,76,88.1,7.3,
90,속초,2015-09-05,20.1,18.4,24.6,3.3,5.4,2.1,79,90.8,1.7,
90,속초,2015-09-06,20.2,17.3,21.8,4,7.8,3.3,67,81.9,1.8,
90,속초,2015-09-07,18.8,14.9,22.8,.2,3.7,1.6,63,81.8,10.1,
90,속초,2015-09-08,18.1,13.6,22.2,,3.2,1.8,54,76.9,11.8,
90,속초,2015-09-09,19.3,16.4,22.1,,5.7,3,61,80.1,8.1,
90,속초,2015-09-10,20.2,16.4,24,0,3.1,1.5,62,77,9.7,
90,속초,2015-09-11,19.4,15.7,22.1,1.2,5.7,2.1,69,85.6,.7,
90,속초,2015-09-12,16.8,14.3,19.6,0,4.3,1.7,70,86.9,1.6,
90,속초,2015-09-13,17.7,12.9,22.4,,3.7,1.5,39,66,11.1,
90,속초,2015-09-14,19,13,24.5,,3.9,1.6,49,71.8,11.7,
90,속초,2015-09-15,18,12.9,23.3,,3.9,1.7,55,72.6,11.6,
90,속초,2015-09-16,17.5,12.5,22.2,,2.9,1.3,51,72.4,10.3,
90,속초,2015-09-17,18.1,15.2,20.8,,3.2,1.8,51,70.1,2.3,
90,속초,2015-09-18,18.5,15.4,22.1,,3.8,1.9,66,81.3,8.5,
90,속초,2015-09-19,18.4,13.7,22.5,,4.2,2,63,80.6,10.7,
90,속초,2015-09-20,19.3,14.3,23.4,,3,1.4,76,88.3,10.1,
90,속초,2015-09-21,19.6,15.9,23.8,,2.7,1.4,81,88.1,10.9,
90,속초,2015-09-22,19.5,15,24.2,,4.4,1.9,75,87.8,10.9,
90,속초,2015-09-23,19.1,15.4,22.3,,5.8,1.8,68,88.9,4.2,
90,속초,2015-09-24,18.9,15.7,23.5,,2.6,1.5,72,85.6,10.6,
90,속초,2015-09-25,19.3,15.9,23.1,,3.6,1.6,73,85.8,9.8,
90,속초,2015-09-26,19.1,15.7,23.1,,2.7,1.4,74,87.3,8,
90,속초,2015-09-27,18.8,13.9,23.5,,3.5,1.7,67,80.1,10.7,
90,속초,2015-09-28,19.5,15.3,25,,4.1,1.3,27,55.4,2.8,
90,속초,2015-09-29,17.9,14.6,21.8,,4.2,2,43,57,4.2,
90,속초,2015-09-30,17.5,13.7,23.5,,4.2,1.8,42,66.1,2.4,
90,속초,2015-10-01,16,13.9,19.5,14.8,7.7,1.8,44,80.4,0,
90,속초,2015-10-02,17.3,10.4,21.9,,8.8,3.2,16,32.8,10.9,
90,속초,2015-10-03,20.8,14.5,26.2,,6.3,2.8,13,32.4,10.4,
90,속초,2015-10-04,14.4,10.5,19.2,,3,1.5,15,41.4,9.7,
90,속초,2015-10-05,16.5,10.1,22.1,,4.8,1.7,31,58.8,10.7,
90,속초,2015-10-06,18,11.6,24.1,,4.1,1.4,30,56.4,10.1,
90,속초,2015-10-07,18.3,13.5,22.5,,3.1,1.4,54,73.5,8.2,
90,속초,2015-10-08,17.5,14.1,21.1,,3.2,1.4,64,85.4,6.4,
90,속초,2015-10-09,16.6,10.5,21.2,,6.6,2.4,7,32.6,9.4,
90,속초,2015-10-10,13.8,10.1,18.8,0,5.8,2.2,37,51,6.8,
90,속초,2015-10-11,11.6,8.5,15,,5.5,2.4,36,47.3,4.7,
90,속초,2015-10-12,13.2,8.1,16.7,,5.1,2.2,30,40,10.4,
90,속초,2015-10-13,17.1,10.9,22.3,,6.2,2.9,21,34.6,10.6,
90,속초,2015-10-14,15.3,10.7,18.4,,4.6,2,50,67.8,10.3,
90,속초,2015-10-15,14.4,9.9,20.3,,2.6,1.3,66,83.1,10,
90,속초,2015-10-16,15,10.4,19.8,,2.4,1.3,72,87,10,
90,속초,2015-10-17,16.5,9.6,22.1,,5.3,1.9,37,68.4,10.2,
90,속초,2015-10-18,18.8,13.5,25.2,0,8.1,2.1,26,59.1,9.4,
90,속초,2015-10-19,16.2,13.1,20.5,0,5.2,1.7,44,79.8,5.4,
90,속초,2015-10-20,17.2,13.5,20.1,,5,2.3,44,73.9,4.6,
90,속초,2015-10-21,14.5,11.7,19.1,5.6,5,2.1,76,89.9,5.6,
90,속초,2015-10-22,12.1,10.3,13.8,7,4.5,.9,72,87.5,0,
90,속초,2015-10-23,14.6,12.1,18.6,,2.5,.9,51,85,.4,
90,속초,2015-10-24,17.8,12.4,24.1,0,6,2.6,25,58.3,9,
90,속초,2015-10-25,13.1,9.6,17.5,,4.2,2,45,65.3,9.5,
90,속초,2015-10-26,12.7,7.5,16.4,0,3.4,1.3,53,75.5,2.4,
90,속초,2015-10-27,14.1,9.1,19,0,6.1,2.3,18,46.8,5.8,
90,속초,2015-10-28,11.4,7.5,15.8,,7.1,3.1,13,21.8,10.1,
90,속초,2015-10-29,9,4,14,0,5.6,2.3,14,28.5,9.5,
90,속초,2015-10-30,6.4,2.3,11.6,,4.7,1.9,9,23.9,10.1,
90,속초,2015-10-31,5.2,1,10.6,,3,1.4,13,37.5,10,
90,속초,2015-11-01,8.6,1.2,13.7,,3.1,1.4,22,38.8,5.8,
90,속초,2015-11-02,12.1,7.5,17.2,,4.2,1.5,19,31.4,6.6,
90,속초,2015-11-03,11.6,6.1,17.6,,3.8,1.5,31,52,9.8,
90,속초,2015-11-04,11.7,5.1,17.7,,3.8,1.2,28,52.4,9.9,
90,속초,2015-11-05,13.3,8.5,21.7,,5.1,1.5,16,53.3,6.7,
90,속초,2015-11-06,11.2,9.1,13.7,1.6,6.2,4.2,68,77,0,
90,속초,2015-11-07,10.5,8.8,11.9,56.5,7.1,4.3,87,92,0,
90,속초,2015-11-08,10.3,9.6,11.1,35.5,6,3.8,90,91.9,0,
90,속초,2015-11-09,9.5,8.9,10.9,27.7,4.1,1.6,91,92.9,0,
90,속초,2015-11-10,9.8,7.9,12.3,5,5.3,2,78,90.4,4.5,
90,속초,2015-11-11,9.3,7.9,10.7,67.5,5.1,2.1,90,92.3,0,
90,속초,2015-11-12,10.4,9.2,11.5,6.2,3.8,1,92,93,0,
90,속초,2015-11-13,10.3,9.3,11.8,31.9,1.9,.7,92,92.9,0,
90,속초,2015-11-14,11.5,10.4,13,50.7,5.2,2.2,93,93,0,
90,속초,2015-11-15,13.2,8.2,19,,3.3,1.3,41,71.4,8.3,
90,속초,2015-11-16,11.5,8.4,14.1,12.5,4.6,1.5,76,86.8,.3,
90,속초,2015-11-17,10.9,9.1,12.4,1.5,4.9,1.5,68,87.1,.1,
90,속초,2015-11-18,8.3,6.1,11.4,21.3,7.3,3.8,77,88.3,0,
