일시,시도,시·군·구,화재유형,발화열원대분류,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,인명피해(명)소계,사망,부상,재산피해소계,장소대분류,장소중분류,장소소분류
2022-08-25 00:25,충청북도,청주시 청원구,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,57342,"판매,업무시설",일반업무,일반회사
2022-08-25 00:35,서울특별시,영등포구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,가연물 근접방치,"전기,전자","전기, 전자기기 케이스",1,0,1,2981,주거,공동주택,기타 공동주택
2022-08-25 00:42,강원특별자치도,춘천시,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","기타(종이,목재,건초등)",0,0,0,450,기타,야외,쓰레기
2022-08-25 00:42,인천광역시,강화군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,642,산업시설,창고시설,기타 창고
2022-08-25 01:00,대전광역시,서구,"자동차,철도차량","불꽃, 불티","모닥불, 연탄, 숯",방화,방화,합성수지,"플라스틱, PVC, 비닐, 장판",1,1,0,19800,"자동차,철도차량",자동차,승용자동차
2022-08-25 01:05,충청북도,청주시 흥덕구,"건축,구조물",화학적 발화열,화학반응열,화학적 요인,자연발화,쓰레기류,기타 쓰레기,0,0,0,194099,산업시설,공장시설,그 밖의 공업
2022-08-25 01:26,충청남도,홍성군,기타(쓰레기 화재등),작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하","종이,목재,건초등",톱밥,0,0,0,125,기타,야외,기타야외
2022-08-25 01:46,경기도,화성시,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",가스누출(폭발),가스누출(폭발),가연성가스,프로판가스,1,0,1,68,산업시설,창고시설,"냉장, 냉동창고"
2022-08-25 02:37,광주광역시,남구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,670,생활서비스,음식점,분식
2022-08-25 02:44,서울특별시,도봉구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자","콘센트, 스위치류",0,0,0,449,주거,공동주택,기타 공동주택
2022-08-25 03:05,서울특별시,관악구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",전기적 요인,과부하/과전류,"전기,전자","기타(전기,전자)",0,0,0,498,주거,공동주택,아파트
2022-08-25 03:30,전북특별자치도,군산시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하","전기,전자",전자기기 부속품,0,0,0,214,주거,공동주택,아파트
2022-08-25 04:00,서울특별시,광진구,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",전기적 요인,"누전,지락","전기,전자",전선피복,0,0,0,66,주거,공동주택,다세대주택
2022-08-25 04:23,서울특별시,관악구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,튀김유,0,0,0,4,주거,공동주택,다세대주택
2022-08-25 04:29,서울특별시,강서구,"건축,구조물",미상,미상,미상,미상,쓰레기류,폐목재,0,0,0,234,운수자동차시설,자동차시설,"세차장, 폐차장"
2022-08-25 04:58,서울특별시,영등포구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하","전기,전자",전자기기 부속품,0,0,0,70,산업시설,작업장,기타 작업장
2022-08-25 05:15,강원특별자치도,춘천시,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,48,생활서비스,음식점,패스트푸드(휴게)
2022-08-25 06:03,부산광역시,해운대구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,음식물,0,0,0,0,주거,공동주택,아파트
2022-08-25 06:24,경상남도,거창군,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",전기적 요인,미확인단락,"전기,전자",전선피복,1,0,1,719,산업시설,동식물시설,기타 동식물시설
