연번,사망,부상,인명피해(명)소계,재산피해소계,화재발생년월일,시도,시군구,읍면동,화재유형,발화열원,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,장소대분류,장소중분류,장소소분류
11,0,0,0,30,2016-01-01 01:56,경기도,안양시동안구,호계동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,합성수지,기타(합성수지),"판매,업무시설",판매시설,상가빌딩
12,0,0,0,50,2016-01-01 02:00,광주광역시,광산구,산월동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,공동주택,아파트
13,0,0,0,20,2016-01-01 02:07,서울특별시,서초구,서초동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,공동주택,아파트
14,0,0,0,25,2016-01-01 02:11,제주특별자치도,제주시,연동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,"압착,손상에 의한 단락","종이,목재,건초등","목재, 합판","판매,업무시설",숙박시설,호텔
15,0,0,0,5280,2016-01-01 02:30,경상북도,경주시,내남면,"자동차,철도차량",작동기기,"불꽃, 스파크, 정전기",기계적 요인,노후,위험물등,기계유,"자동차,철도차량",자동차,승용자동차
16,0,0,0,102,2016-01-01 02:34,서울특별시,강동구,천호동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,단독주택,다가구주택
17,0,0,0,20,2016-01-01 02:35,서울특별시,서초구,방배동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,"판매,업무시설",일반업무,오피스텔
18,0,0,0,20882,2016-01-01 02:42,서울특별시,강남구,역삼동,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",부주의,음식물 조리중,식품,튀김유,주거,공동주택,아파트
19,0,0,0,20,2016-01-01 02:55,서울특별시,서대문구,냉천동,"건축,구조물",화학적 발화열,화학반응열,부주의,"불씨,불꽃,화원방치",식품,튀김유,생활서비스,음식점,"치킨,족발"
20,0,0,0,5737,2016-01-01 03:01,경상남도,의령군,봉수면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,산업시설,창고시설,"창고, 물품저장소"
21,0,0,0,171,2016-01-01 04:17,경기도,안산시단원구,초지동,기타(쓰레기 화재등),화학적 발화열,화학반응열,화학적 요인,자연발화,쓰레기류,쓰레기,기타,야외,쓰레기
22,0,0,0,1815,2016-01-01 04:42,대구광역시,달서구,월암동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,기타,기타,산업시설,공장시설,금속기계 및 기구공업
23,0,0,0,261,2016-01-01 05:28,경상남도,양산시,삼호동,"건축,구조물",기타(발화원인),기타,화학적 요인,자연발화,식품,튀김유,생활서비스,음식점,"치킨,족발"
24,0,0,0,528,2016-01-01 05:33,경상북도,울진군,죽변면,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하","전기,전자",전선피복,기타서비스,기타건축물,기타 건축물
25,0,0,0,26635,2016-01-01 05:57,인천광역시,동구,만석동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,주거,단독주택,단독주택
26,0,0,0,8368,2016-01-01 06:08,경상남도,거창군,거창읍,"건축,구조물",작동기기,기타(작동기기),기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",생활서비스,음식점,횟집
27,0,0,0,5327,2016-01-01 06:24,강원도,영월군,수주면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,가연물 근접방치,"종이,목재,건초등","목재, 합판","판매,업무시설",숙박시설,펜션
28,0,0,0,110,2016-01-01 07:01,전라북도,군산시,소룡동,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,"자동차,철도차량",자동차,승용자동차
29,0,0,0,440,2016-01-01 07:19,경상북도,안동시,안막동,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,미확인단락,합성수지,"플라스틱, PVC, 비닐, 장판","자동차,철도차량",자동차,승용자동차
30,0,0,0,907,2016-01-01 08:22,경기도,양주시,은현면,"건축,구조물",화학적 발화열,화학반응열,화학적 요인,자연발화,쓰레기류,쓰레기,산업시설,위생시설,폐기물처리시설
31,0,0,0,4209,2016-01-01 08:22,경상북도,성주군,월항면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),"전기,전자","기타(전기,전자)",산업시설,공장시설,그 밖의 공업
32,0,0,0,3383,2016-01-01 09:01,경기도,광주시,퇴촌면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),기타,기타,산업시설,창고시설,기타 창고
33,0,0,0,451,2016-01-01 09:17,경상남도,함안군,군북면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"침구,직물류",부직포,산업시설,동식물시설,농예용 온실
34,0,0,0,346,2016-01-01 09:53,울산광역시,울주군,상북면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치","종이,목재,건초등",종이,기타서비스,기타건축물,기타 건축물
35,0,0,0,17,2016-01-01 09:57,경기도,안양시만안구,안양동,"건축,구조물",작동기기,기타(작동기기),부주의,음식물 조리중,식품,음식물,주거,공동주택,주상복합아파트
36,0,0,0,5544,2016-01-01 10:11,충청북도,충주시,봉방동,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",기계적 요인,"과열, 과부하","종이,목재,건초등","목재, 합판",생활서비스,일상서비스,부동산 중개업소
37,0,0,0,61089,2016-01-01 10:29,경상북도,예천군,예천읍,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,교육시설,학교,대학교
38,0,0,0,5425,2016-01-01 10:53,서울특별시,서초구,잠원동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,튀김유,주거,공동주택,아파트
39,0,0,0,7821,2016-01-01 11:18,제주특별자치도,제주시,조천읍,"자동차,철도차량",기타(발화원인),기타,교통사고,교통사고,"자동차,철도차량,선박,항공기",오일류,"자동차,철도차량",자동차,승용자동차
40,0,0,0,13264,2016-01-01 11:26,경상남도,진주시,집현면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),"전기,전자",전선피복,주거,기타주택,기타 주택
41,0,0,0,0,2016-01-01 11:41,대구광역시,달성군,하빈면,임야,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,쓰레기류,쓰레기,임야,산불,사유림
42,0,0,0,0,2016-01-01 12:10,경상북도,상주시,남성동,임야,"담뱃불, 라이터불","기타(담뱃불,라이터불)",방화,방화,"종이,목재,건초등","풀, 나뭇잎",임야,들불,논밭두렁
43,0,0,0,1008,2016-01-01 12:16,서울특별시,중랑구,상봉동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,기타(식품),"판매,업무시설",숙박시설,여관
44,0,0,0,0,2016-01-01 12:20,경상남도,밀양시,상남면,임야,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,쓰레기류,기타 쓰레기,임야,들불,기타 들불
45,0,0,0,182,2016-01-01 12:21,세종특별자치시,세종,연동면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,합성수지,"플라스틱, PVC, 비닐, 장판",산업시설,동식물시설,기타 동식물시설
46,0,0,0,28,2016-01-01 12:22,경기도,안양시만안구,안양동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,생활서비스,음식점,기타휴게음식점
47,0,0,0,165,2016-01-01 12:40,경상남도,밀양시,상남면,"자동차,철도차량",작동기기,기타(작동기기),기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기","기타(자동차,철도차량,선박,항공기)","자동차,철도차량",자동차,승용자동차
48,0,0,0,520,2016-01-01 12:45,경상남도,함양군,함양읍,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,운수자동차시설,자동차시설,카센터
49,0,0,0,22,2016-01-01 12:50,부산광역시,해운대구,재송동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,공동주택,아파트
50,0,0,0,1208,2016-01-01 12:50,대전광역시,동구,홍도동,"건축,구조물","담뱃불, 라이터불",촛불,부주의,"불씨,불꽃,화원방치",기타,기타,주거,단독주택,단독주택
51,0,0,0,220,2016-01-01 13:09,경상북도,경산시,정평동,"건축,구조물",작동기기,전기적 아크(단락),기계적 요인,"과열, 과부하","전기,전자","전기, 전자기기 케이스","판매,업무시설",판매시설,할인점(마트)
52,0,0,0,6129,2016-01-01 13:28,경기도,파주시,문산읍,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,주거,공동주택,아파트
53,0,0,0,0,2016-01-01 13:32,전라남도,광양시,광양읍,기타(쓰레기 화재등),"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등",건초,기타,야외,쓰레기
54,0,0,0,4116,2016-01-01 13:37,충청남도,천안시서북구,백석동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,반단선,"전기,전자",전선피복,기타서비스,기타건축물,기타 건축물
55,0,0,0,0,2016-01-01 13:47,경상남도,양산시,중부동,임야,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",임야,들불,들판
56,0,0,0,3960,2016-01-01 13:55,경기도,용인시처인구,삼가동,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"자동차,철도차량,선박,항공기",전기배선,"자동차,철도차량",자동차,승용자동차
57,0,0,0,50,2016-01-01 14:05,서울특별시,강서구,공항동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,튀김유,생활서비스,음식점,분식
58,0,0,0,33,2016-01-01 14:08,경상남도,남해군,창선면,임야,"불꽃, 불티","기타(불꽃,불티)",부주의,"논,임야태우기",기타,기타,임야,산불,사유림
59,0,0,0,30,2016-01-01 14:21,서울특별시,종로구,낙원동,"건축,구조물",기타(발화원인),기타,부주의,빨래삶기,"침구,직물류","행주, 기름걸레",생활서비스,일상서비스,철물점
60,0,0,0,3396,2016-01-01 14:21,광주광역시,남구,주월동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,"전기,전자",전선피복,주거,기타주택,비닐하우스
61,0,0,0,220,2016-01-01 14:27,부산광역시,해운대구,중동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"간판,차양막등",광고판,생활서비스,음식점,일식
62,0,0,0,45,2016-01-01 15:35,울산광역시,북구,천곡동,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",부주의,불장난,가구,소파,산업시설,공장시설,그 밖의 공업
63,0,0,0,77,2016-01-01 15:40,경기도,광주시,곤지암읍,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,기타,기타,생활서비스,음식점,한식
64,0,0,0,9518,2016-01-01 15:44,경상북도,울진군,기성면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,기타서비스,기타건축물,기타 건축물
65,0,0,0,21941,2016-01-01 16:14,광주광역시,동구,산수동,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,주거,단독주택,단독주택
66,0,0,0,925,2016-01-01 16:31,울산광역시,울주군,서생면,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",주거,단독주택,단독주택
67,0,0,0,90,2016-01-01 16:35,서울특별시,구로구,신도림동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,"불씨,불꽃,화원방치",합성수지,"플라스틱, PVC, 비닐, 장판","판매,업무시설",일반업무,일반빌딩
68,0,0,0,3542,2016-01-01 16:40,경상북도,청송군,현동면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,기계적 요인,"과열, 과부하","종이,목재,건초등",나무,주거,단독주택,단독주택
69,0,0,0,99,2016-01-01 16:54,충청남도,금산군,금산읍,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,합성수지,"플라스틱, PVC, 비닐, 장판",산업시설,작업장,기타 작업장
70,0,0,0,14268,2016-01-01 16:55,강원도,홍천군,서석면,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치",미상,미상,주거,단독주택,단독주택
71,0,0,0,181,2016-01-01 16:56,인천광역시,연수구,옥련동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,기타서비스,기타건축물,기타 건축물
72,0,0,0,29,2016-01-01 17:19,부산광역시,동래구,낙민동,기타(쓰레기 화재등),"담뱃불, 라이터불","라이터불, 성냥불",부주의,불장난,"종이,목재,건초등","풀, 나뭇잎",기타,야외,기타야외
73,0,0,0,0,2016-01-01 17:22,경상남도,사천시,동금동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",기타,야외,공터
74,0,0,0,99,2016-01-01 17:27,부산광역시,강서구,화전동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",기타,야외,공터
75,0,0,0,75,2016-01-01 17:27,인천광역시,부평구,청천동,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",생활서비스,음식점,분식
76,0,0,0,524,2016-01-01 17:49,강원도,동해시,천곡동,기타(쓰레기 화재등),"담뱃불, 라이터불","라이터불, 성냥불",부주의,쓰레기 소각,쓰레기류,기타 쓰레기,기타,야외,쓰레기
77,0,0,0,165,2016-01-01 18:05,전라북도,고창군,대산면,"자동차,철도차량","마찰, 전도, 복사","마찰열,마찰 스파크",기계적 요인,기타(기계적요인),"자동차,철도차량,선박,항공기","기타(자동차,철도차량,선박,항공기)","자동차,철도차량",자동차,화물자동차
78,0,0,0,117,2016-01-01 18:08,경상남도,창원시 진해구,안골동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,기타,야외,기타야외
79,0,0,0,96,2016-01-01 18:16,부산광역시,동래구,수안동,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",방화의심,방화의심,"종이,목재,건초등",종이,"판매,업무시설",일반업무,금융기관(농협 등)
80,0,0,0,45,2016-01-01 18:18,광주광역시,남구,구동,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",가스누출(폭발),가스누출(폭발),가연성가스,프로판가스,기타서비스,기타건축물,포장마차
81,0,0,0,0,2016-01-01 18:50,전라남도,화순군,도암면,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,기타,기타,기타,도로,가로등
82,0,0,0,4368,2016-01-01 19:03,강원도,정선군,남면,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,"불씨,불꽃,화원방치","침구,직물류","이불(베개,시트)",주거,기타주택,기타 주택
83,0,0,0,0,2016-01-01 19:06,부산광역시,부산진구,당감동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",기타,야외,공터
84,0,0,0,405,2016-01-01 19:09,충청북도,영동군,영동읍,기타(쓰레기 화재등),작동기기,"기기 전도,복사열",부주의,유류 취급중,위험물등,가솔린,기타,야외,기타야외
85,0,0,0,461,2016-01-01 19:18,전라남도,무안군,삼향읍,"건축,구조물",미상(발화원인),미상,미상,미상,"종이,목재,건초등",종이,"판매,업무시설",일반업무,오피스텔
86,0,0,0,84,2016-01-01 19:25,경기도,남양주시,진건읍,"건축,구조물",작동기기,"기기 전도,복사열",부주의,가연물 근접방치,합성수지,"플라스틱, PVC, 비닐, 장판",산업시설,공장시설,금속기계 및 기구공업
87,0,0,0,0,2016-01-01 19:39,강원도,춘천시,남면,"건축,구조물","불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","목재, 합판",주거,단독주택,단독주택
88,0,0,0,7498,2016-01-01 19:42,경기도,시흥시,정왕동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,반단선,"종이,목재,건초등","목재, 합판",산업시설,창고시설,"창고, 물품저장소"
89,0,0,0,470,2016-01-01 19:57,경기도,양평군,용문면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,반단선,"전기,전자",전선피복,주거,단독주택,단독주택
90,0,0,0,17826,2016-01-01 20:11,경기도,광명시,노온사동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,기타,기타,산업시설,창고시설,기타 창고
91,0,0,0,0,2016-01-01 20:18,경기도,안산시단원구,신길동,기타(쓰레기 화재등),화학적 발화열,화학반응열,화학적 요인,자연발화,쓰레기류,쓰레기,기타,야외,야적장
92,0,0,0,2015,2016-01-01 20:26,강원도,영월군,주천면,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,가연물 근접방치,합성수지,"플라스틱, PVC, 비닐, 장판",주거,기타주택,기타 주택
93,0,0,0,1623,2016-01-01 20:26,경기도,시흥시,정왕동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"종이,목재,건초등",종이,"의료,복지시설",의료시설,약국
94,0,0,0,637,2016-01-01 20:27,부산광역시,부산진구,전포동,"건축,구조물",미상(발화원인),미상,방화의심,방화의심,미상,미상,주거,단독주택,단독주택
95,1,0,1,9198,2016-01-01 20:27,부산광역시,수영구,광안동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"침구,직물류","이불(베개,시트)",주거,공동주택,아파트
96,0,0,0,0,2016-01-01 20:37,대구광역시,달서구,상인동,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",부주의,음식물 조리중,합성수지,"플라스틱, PVC, 비닐, 장판",주거,공동주택,아파트
97,0,0,0,20,2016-01-01 20:54,서울특별시,구로구,개봉동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,공동주택,아파트
98,0,0,0,693,2016-01-01 20:54,인천광역시,서구,신현동,"자동차,철도차량",작동기기,"불꽃, 스파크, 정전기",기계적 요인,기타(기계적요인),"전기,전자",전선피복,"자동차,철도차량",자동차,승용자동차
99,0,0,0,88170,2016-01-01 20:59,경기도,연천군,청산면,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",산업시설,창고시설,"창고, 물품저장소"
100,0,0,0,1655,2016-01-01 21:06,충청북도,청주시상당구,남문로1가,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하","종이,목재,건초등","목재, 합판",생활서비스,일상서비스,기타 일상서비스
101,0,0,0,363,2016-01-01 21:15,광주광역시,서구,유촌동,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하",식품,기타(식품),생활서비스,일상서비스,화장품
102,0,0,0,9955,2016-01-01 21:33,충청남도,아산시,송악면,"자동차,철도차량","불꽃, 불티","기타(불꽃,불티)",교통사고,교통사고,미상,미상,"자동차,철도차량",자동차,승용자동차
103,0,0,0,0,2016-01-01 21:37,전라남도,보성군,벌교읍,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",주거,단독주택,단독주택
104,0,0,0,1175,2016-01-01 21:52,인천광역시,남동구,장수동,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치","종이,목재,건초등",나무,주거,단독주택,단독주택
105,0,0,0,0,2016-01-01 22:13,부산광역시,영도구,봉래동2가,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,기타,야외,쓰레기
106,0,0,0,2574,2016-01-01 22:19,충청남도,보령시,남곡동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"종이,목재,건초등",건초,주거,단독주택,단독주택
107,0,0,0,275,2016-01-01 22:47,경기도,양주시,덕정동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,"전기,전자",전선피복,생활서비스,음식점,일반주점
108,0,0,0,1325,2016-01-01 22:48,경상북도,경산시,와촌면,"자동차,철도차량",작동기기,기타(작동기기),기계적 요인,"과열, 과부하",기타,기타,"자동차,철도차량",자동차,승용자동차
109,0,0,0,1201,2016-01-01 22:57,전라북도,순창군,복흥면,"자동차,철도차량",미상(발화원인),미상,방화의심,방화의심,"침구,직물류",의류,"자동차,철도차량",자동차,오토바이
110,0,0,0,238,2016-01-01 23:25,서울특별시,동작구,신대방동,"건축,구조물",미상(발화원인),미상,방화의심,방화의심,쓰레기류,기타 쓰레기,주거,단독주택,다가구주택
111,0,0,0,214,2016-01-01 23:39,경기도,동두천시,지행동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,주거,공동주택,아파트
112,0,0,0,72,2016-01-02 00:03,서울특별시,중구,중림동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,공동주택,주상복합아파트
113,0,0,0,6196,2016-01-02 01:29,경기도,하남시,춘궁동,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하",기타,기타,기타서비스,기타건축물,기타 건축물
114,0,0,0,9680,2016-01-02 01:50,경기도,의정부시,녹양동,"건축,구조물",미상(발화원인),미상,방화의심,방화의심,미상,미상,기타서비스,기타건축물,기타 건축물
115,0,0,0,17,2016-01-02 01:53,경기도,광주시,오포읍,"건축,구조물",작동기기,"기기 전도,복사열",부주의,기타(부주의),"전기,전자","기타(전기,전자)",산업시설,공장시설,요업 및 토석공업
116,0,0,0,55,2016-01-02 02:16,부산광역시,사상구,괘법동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,합성수지,"플라스틱, PVC, 비닐, 장판",생활서비스,일상서비스,일반상점
117,0,0,0,587,2016-01-02 02:23,충청남도,아산시,용화동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),"전기,전자",전자기기 부속품,주거,단독주택,다가구주택
118,0,0,0,390,2016-01-02 02:50,전라남도,해남군,해남읍,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,합성수지,"플라스틱, PVC, 비닐, 장판",주거,공동주택,아파트
119,0,0,0,0,2016-01-02 03:08,경상남도,양산시,중부동,기타(쓰레기 화재등),작동기기,"기기 전도,복사열",부주의,기타(부주의),식품,튀김유,기타,야외,기타야외
120,0,0,0,1,2016-01-02 03:09,서울특별시,강서구,화곡동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,기타,야외,쓰레기
121,0,0,0,21097,2016-01-02 03:37,경상남도,고성군,대가면,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,주거,단독주택,단독주택
122,0,0,0,8046,2016-01-02 03:58,경상남도,사천시,벌리동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자",전선피복,산업시설,창고시설,기타 창고
123,0,0,0,7794,2016-01-02 04:07,경기도,양주시,남방동,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,산업시설,동식물시설,농예용 온실
124,0,0,0,19705,2016-01-02 04:34,인천광역시,남구,학익동,"건축,구조물",미상(발화원인),미상,방화의심,방화의심,"침구,직물류","이불(베개,시트)",주거,단독주택,다가구주택
125,0,0,0,990,2016-01-02 04:55,충청남도,당진시,송악읍,"자동차,철도차량",작동기기,"기기 전도,복사열",기계적 요인,노후,"자동차,철도차량,선박,항공기",오일류,"자동차,철도차량",자동차,승용자동차
126,0,0,0,33676,2016-01-02 05:33,경상남도,밀양시,단장면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,미상,미상,산업시설,동식물시설,돈사
127,0,0,0,30650,2016-01-02 05:34,충청북도,청주시상당구,금천동,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하","침구,직물류","이불(베개,시트)",주거,공동주택,아파트
128,1,0,1,13802,2016-01-02 05:45,경상남도,남해군,삼동면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치",미상,미상,주거,단독주택,단독주택
129,0,0,0,80,2016-01-02 05:58,대구광역시,북구,대현동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자",전선피복,주거,단독주택,단독주택
130,0,0,0,68,2016-01-02 06:35,광주광역시,북구,두암동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,기타(부주의),"침구,직물류","기타(침구,직물류)",주거,단독주택,단독주택
131,0,0,0,23410,2016-01-02 06:43,경상북도,상주시,청리면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,산업시설,창고시설,기타 창고
