연번,사망,부상,인명피해(명)소계,재산피해소계,화재발생년월일,시도,시군구,읍면동,화재유형,발화열원,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,장소대분류,장소중분류,장소소분류
1,0,0,0,492,2016-01-01 00:12,경기도,고양시일산동구,정발산동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,가연물 근접방치,합성수지,"플라스틱, PVC, 비닐, 장판",주거,단독주택,단독주택
2,0,0,0,4831,2016-01-01 00:16,울산광역시,울주군,온산읍,"건축,구조물",미상(발화원인),미상,기계적 요인,"과열, 과부하",합성수지,기타(합성수지),산업시설,공장시설,금속기계 및 기구공업
3,0,0,0,8250,2016-01-01 00:24,경상북도,김천시,응명동,"자동차,철도차량",작동기기,"불꽃, 스파크, 정전기",교통사고,교통사고,"자동차,철도차량,선박,항공기","기타(자동차,철도차량,선박,항공기)","자동차,철도차량",자동차,승용자동차
4,0,0,0,60,2016-01-01 00:29,강원도,강릉시,교동,기타(쓰레기 화재등),"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","목재, 합판",기타,야외,기타야외
5,0,0,0,114,2016-01-01 00:38,광주광역시,서구,화정동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,음식물,생활서비스,음식점,한식
6,0,0,0,198,2016-01-01 01:07,인천광역시,남구,도화동,"자동차,철도차량",미상(발화원인),미상,방화의심,방화의심,미상,미상,"자동차,철도차량",자동차,화물자동차
7,0,0,0,656,2016-01-01 01:08,충청남도,논산시,벌곡면,"건축,구조물","마찰, 전도, 복사","기타(마찰,전도,복사)",기계적 요인,기타(기계적요인),합성수지,스티로폼,주거,단독주택,단독주택
8,0,0,0,13,2016-01-01 01:19,경상남도,거제시,장목면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,"전기,전자",전선피복,주거,단독주택,다가구주택
9,0,0,0,433,2016-01-01 01:28,경상남도,밀양시,무안면,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",산업시설,동식물시설,농예용 온실
10,0,0,0,0,2016-01-01 01:55,대전광역시,서구,도마동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,단독주택,다가구주택
