화재발생년월일,시도,시군구,화재유형,발화열원대분류,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,인명피해(명)소계,사망,부상,재산피해소계,장소대분류,장소중분류,장소소분류
2021-01-01 00:00,서울특별시,구로구,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마",기타,기타,0,0,0,50,산업시설,공장시설,금속기계 및 기구공업
2021-01-01 00:05,광주광역시,광산구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,튀김유,0,0,0,146,산업시설,공장시설,"전기, 전자공업"
2021-01-01 00:06,광주광역시,광산구,"건축,구조물",미상,미상,미상,미상,미상,미상,1,1,0,5148,"판매,업무시설",일반업무,오피스텔
2021-01-01 00:07,경기도,여주시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,0,0,0,62588,생활서비스,음식점,한식
2021-01-01 00:12,경기도,양평군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,118081,산업시설,동식물시설,계사
2021-01-01 00:21,인천광역시,미추홀구,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,493792,교육시설,학교,대학교
2021-01-01 00:43,광주광역시,북구,"건축,구조물","불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치",기타,기타,0,0,0,3566,생활서비스,음식점,일반주점
2021-01-01 00:57,인천광역시,강화군,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,기타 쓰레기,0,0,0,5211,주거,단독주택,단독주택
2021-01-01 01:12,경상남도,창녕군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자","콘센트, 스위치류",0,0,0,1645,주거,공동주택,다세대주택
2021-01-01 01:15,서울특별시,강남구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,재활용,0,0,0,22,기타,야외,쓰레기
2021-01-01 01:34,경기도,파주시,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,1436,기타,야외,기타야외
2021-01-01 01:35,경기도,고양시일산동구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,55,기타,야외,쓰레기
2021-01-01 01:46,경상남도,김해시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,미상,미상,0,0,0,5119,생활서비스,음식점,한식
2021-01-01 02:09,전라북도,전주시완산구,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",부주의,음식물 조리중,식품,튀김유,0,0,0,45,주거,단독주택,단독주택
2021-01-01 02:31,경기도,김포시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,기타,기타,0,0,0,16997,산업시설,공장시설,그 밖의 공업
2021-01-01 02:41,충청북도,청주시 흥덕구,"건축,구조물",기타,기타,화학적 요인,자연발화,식품,튀김유,0,0,0,2087,생활서비스,음식점,양식
2021-01-01 03:08,경기도,양주시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",합성수지,기타(합성수지),0,0,0,257,산업시설,공장시설,그 밖의 공업
2021-01-01 03:34,울산광역시,북구,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,2239,기타서비스,기타건축물,기타 건축물
2021-01-01 05:05,경상남도,함안군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"침구,직물류",부직포,0,0,0,18965,기타서비스,기타건축물,기타 건축물
2021-01-01 06:06,전라남도,곡성군,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,"기기(전기, 기계 등) 사용.설치부주의",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,965,기타서비스,기타건축물,기타 건축물
2021-01-01 06:12,경상북도,경주시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,88708,생활서비스,일상서비스,철물점
2021-01-01 06:13,서울특별시,강남구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,합성수지,기타(합성수지),0,0,0,1865,주거,공동주택,아파트
2021-01-01 06:26,경상남도,양산시,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",방화의심,방화의심,"종이,목재,건초등",종이,0,0,0,1213,주거,공동주택,아파트
2021-01-01 06:36,인천광역시,남동구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,1058,생활서비스,음식점,양식
2021-01-01 06:50,강원도,원주시,기타(쓰레기 화재등),"담뱃불, 라이터불","라이터불, 성냥불",방화,방화,쓰레기류,쓰레기,0,0,0,610,기타,야외,기타야외
2021-01-01 07:00,서울특별시,강서구,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,음식물 조리중,식품,튀김유,0,0,0,452,생활서비스,음식점,간이음식점
2021-01-01 07:14,충청북도,청주시 청원구,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,331477,산업시설,공장시설,"전기, 전자공업"
2021-01-01 07:30,충청북도,보은군,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",화학적 요인,기타(화학적요인),"침구,직물류","기타(침구,직물류)",0,0,0,366,주거,공동주택,아파트
2021-01-01 07:41,광주광역시,광산구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,가연물 근접방치,"종이,목재,건초등","목재, 합판",0,0,0,441,주거,단독주택,단독주택
2021-01-01 07:48,경기도,성남시중원구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,155,운수자동차시설,자동차시설,주차장
2021-01-01 07:57,경상남도,합천군,기타(쓰레기 화재등),"마찰, 전도, 복사","화염 전도,복사열",부주의,가연물 근접방치,합성수지,기타(합성수지),0,0,0,181,기타,야외,공터
2021-01-01 08:12,경기도,의정부시,기타(쓰레기 화재등),"불꽃, 불티",비화,부주의,"불씨,불꽃,화원방치","종이,목재,건초등","목재, 합판",0,0,0,295,기타,야외,공터
2021-01-01 08:21,경상북도,영덕군,"자동차,철도차량","불꽃, 불티","기타(불꽃,불티)",부주의,"기기(전기, 기계 등) 사용.설치부주의",가연성가스,부탄가스,0,0,0,873,"자동차,철도차량",자동차,승용자동차
2021-01-01 08:30,충청북도,충주시,"건축,구조물","불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",종이,0,0,0,1261,주거,단독주택,단독주택
2021-01-01 09:14,경기도,용인시처인구,"자동차,철도차량",작동기기,"불꽃, 스파크, 정전기",전기적 요인,접촉불량에 의한 단락,"자동차,철도차량,선박,항공기",전기배선,0,0,0,5203,"자동차,철도차량",자동차,화물자동차
2021-01-01 09:16,경기도,남양주시,"자동차,철도차량",작동기기,"불꽃, 스파크, 정전기",교통사고,교통사고,위험물등,기계유,0,0,0,8360,"자동차,철도차량",자동차,승용자동차
2021-01-01 10:15,강원도,영월군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,층간단락,"전기,전자",전선피복,0,0,0,144063,집합시설,종교시설,성당
2021-01-01 10:18,경상남도,거창군,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",전기적 요인,트래킹에 의한 단락,"전기,전자","콘센트, 스위치류",0,0,0,468,산업시설,동식물시설,농예용 온실
2021-01-01 10:26,경기도,광주시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,36960,기타서비스,기타건축물,기타 건축물
2021-01-01 10:26,전라북도,전주시덕진구,"자동차,철도차량","마찰, 전도, 복사","마찰열,마찰 스파크",교통사고,교통사고,가연성가스,프로판가스,0,0,0,2200,"자동차,철도차량",자동차,승용자동차
2021-01-01 10:33,서울특별시,중랑구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,352,운수자동차시설,자동차시설,주차장
2021-01-01 10:38,경상남도,거창군,기타(쓰레기 화재등),작동기기,"불꽃, 스파크, 정전기",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,442,기타,야외,기타야외
