화재발생년월일,시도,시군구,화재유형,발화열원대분류,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,인명피해(명)소계,사망,부상,재산피해소계,장소대분류,장소중분류,장소소분류
2021-01-01 10:40,충청남도,천안시동남구,기타(쓰레기 화재등),"마찰, 전도, 복사","화염 전도,복사열",부주의,"용접, 절단, 연마","종이,목재,건초등",종이,0,0,0,514,기타,야외,기타야외
2021-01-01 10:41,경기도,동두천시,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",0,0,0,14,기타,야외,공터
2021-01-01 10:41,경상북도,경주시,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,가연물 근접방치,"종이,목재,건초등",나무,0,0,0,486,주거,단독주택,단독주택
2021-01-01 11:10,경기도,남양주시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",합성수지,기타(합성수지),0,0,0,416,주거,공동주택,아파트
2021-01-01 11:33,경기도,동두천시,기타(쓰레기 화재등),"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등",종이,0,0,0,216,기타,야외,쓰레기
2021-01-01 11:37,경기도,시흥시,기타(쓰레기 화재등),작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,112,기타,야외,기타야외
2021-01-01 11:39,인천광역시,서구,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",기타,기타,0,0,0,385,"자동차,철도차량",자동차,오토바이
2021-01-01 11:55,경기도,고양시일산동구,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"오일,연료누설",기타,기타,0,0,0,5570,"자동차,철도차량",자동차,승용자동차
2021-01-01 12:21,경상북도,고령군,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",0,0,0,90,기타서비스,기타건축물,기타 건축물
2021-01-01 12:28,강원도,양양군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자",전선피복,0,0,0,1746,생활서비스,음식점,횟집
2021-01-01 12:32,광주광역시,서구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,304,주거,공동주택,아파트
2021-01-01 12:34,경기도,남양주시,임야,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",0,0,0,2200,임야,산불,국유림
2021-01-01 12:40,경기도,평택시,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,143,주거,단독주택,단독주택
2021-01-01 12:52,경기도,남양주시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,0,0,0,2516,산업시설,창고시설,"창고, 물품저장소"
2021-01-01 13:03,경기도,용인시처인구,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",기계적 요인,"과열, 과부하",합성수지,기타(합성수지),0,0,0,1239,주거,단독주택,단독주택
2021-01-01 13:16,서울특별시,동대문구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,기타,기타,0,0,0,100,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당)
2021-01-01 13:17,경상북도,문경시,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마",위험물등,경유,0,0,0,2266,주거,단독주택,단독주택
2021-01-01 13:18,경상남도,창원시 의창구,"자동차,철도차량",작동기기,전기적 아크(단락),교통사고,교통사고,"자동차,철도차량,선박,항공기",전기배선,0,0,0,110,"자동차,철도차량",자동차,승용자동차
2021-01-01 13:43,서울특별시,서초구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,가연물 근접방치,"침구,직물류","이불(베개,시트)",2,0,2,661,주거,공동주택,아파트
2021-01-01 13:59,충청남도,당진시,"건축,구조물",기타,기타,기타,기타,기타,기타,0,0,0,1647,기타서비스,기타건축물,기타 건축물
2021-01-01 14:08,경기도,여주시,기타(쓰레기 화재등),"마찰, 전도, 복사","화염 전도,복사열",부주의,가연물 근접방치,"종이,목재,건초등",종이,0,0,0,181,기타,야외,기타야외
2021-01-01 14:13,충청남도,청양군,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",나무,0,0,0,3711,주거,단독주택,단독주택
2021-01-01 15:21,대전광역시,동구,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,4630,산업시설,창고시설,"창고, 물품저장소"
2021-01-01 15:33,경상남도,김해시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자","전기, 전자기기 기판",0,0,0,932,주거,공동주택,아파트
2021-01-01 16:17,서울특별시,성북구,"건축,구조물",미상,미상,미상,미상,"종이,목재,건초등","기타(종이,목재,건초등)",0,0,0,498,산업시설,공장시설,방직공업
2021-01-01 16:21,강원도,원주시,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마",합성수지,발포폴리스티렌,1,0,1,523,산업시설,창고시설,기타 창고
2021-01-01 16:21,경기도,성남시분당구,"건축,구조물",미상,미상,부주의,불장난,"종이,목재,건초등",종이,0,0,0,12,주거,공동주택,아파트
2021-01-01 16:40,서울특별시,구로구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,50,주거,단독주택,다가구주택
2021-01-01 16:43,전라북도,익산시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"종이,목재,건초등","목재, 합판",0,0,0,5579,산업시설,창고시설,기타 창고
2021-01-01 16:45,서울특별시,관악구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,가연물 근접방치,미상,미상,0,0,0,2084,주거,공동주택,연립주택
2021-01-01 17:38,제주특별자치도,제주시,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,3073,산업시설,창고시설,기타 창고
2021-01-01 17:53,대전광역시,서구,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,1202260,산업시설,공장시설,그 밖의 공업
2021-01-01 17:54,경기도,광주시,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,2409,기타서비스,기타건축물,기타 건축물
2021-01-01 18:11,경기도,양주시,기타(쓰레기 화재등),"불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마",쓰레기류,쓰레기,0,0,0,1278,기타,야외,야적장
2021-01-01 18:12,인천광역시,동구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","목재, 합판",0,0,0,892,주거,단독주택,다가구주택
2021-01-01 18:14,서울특별시,양천구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,음식물,0,0,0,15,주거,공동주택,아파트
2021-01-01 18:38,부산광역시,중구,기타(쓰레기 화재등),"담뱃불, 라이터불","라이터불, 성냥불",부주의,쓰레기 소각,쓰레기류,쓰레기,0,0,0,0,기타,야외,쓰레기
2021-01-01 18:44,경상남도,진주시,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,372,기타서비스,기타건축물,공중화장실
2021-01-01 18:52,경상남도,밀양시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,7892,산업시설,동식물시설,기타 동식물시설
2021-01-01 19:09,전라북도,군산시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자","콘센트, 스위치류",0,0,0,301,집합시설,종교시설,교회
2021-01-01 19:14,대구광역시,달서구,기타(쓰레기 화재등),작동기기,전기적 아크(단락),기계적 요인,"과열, 과부하","전기,전자",전선피복,0,0,0,156,기타,야외,기타야외
2021-01-01 19:15,충청남도,논산시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,가연물 근접방치,"종이,목재,건초등",종이,0,0,0,1100,산업시설,동식물시설,농예용 온실
2021-01-01 19:28,경기도,수원시영통구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,792,"의료,복지시설",노유자시설,노인복지시설
2021-01-01 19:32,전라남도,무안군,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,64517,집합시설,전시장,기타 전시장
2021-01-01 19:34,서울특별시,금천구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,352,주거,단독주택,단독주택
2021-01-01 20:01,강원도,횡성군,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",기타,기타,"종이,목재,건초등","목재, 합판",0,0,0,195,주거,단독주택,단독주택
2021-01-01 20:26,경기도,의정부시,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","기타(종이,목재,건초등)",0,0,0,1397,주거,단독주택,단독주택
2021-01-01 20:28,충청남도,당진시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,1933,산업시설,창고시설,"창고, 물품저장소"
2021-01-01 20:36,충청남도,부여군,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,23929,기타서비스,기타건축물,기타 건축물
2021-01-01 20:38,인천광역시,계양구,기타(쓰레기 화재등),"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,쓰레기류,기타 쓰레기,0,0,0,24,기타,야외,쓰레기
2021-01-01 20:39,전라남도,담양군,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치","종이,목재,건초등","기타(종이,목재,건초등)",0,0,0,42,기타서비스,기타건축물,기타 건축물
2021-01-01 20:49,부산광역시,수영구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,0,기타,야외,쓰레기
2021-01-01 20:52,대전광역시,유성구,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,1455,주거,단독주택,다가구주택
2021-01-01 20:56,대전광역시,유성구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,100,"의료,복지시설",의료시설,의원
2021-01-01 21:06,경상남도,양산시,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"침구,직물류",의류,0,0,0,22,기타,야외,쓰레기
2021-01-01 21:41,서울특별시,강남구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,가연물 근접방치,"전기,전자","전기, 전자기기 케이스",0,0,0,27,주거,공동주택,아파트
2021-01-01 21:52,전라남도,곡성군,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","기타(종이,목재,건초등)",0,0,0,1669,기타서비스,기타건축물,기타 건축물
2021-01-01 21:58,제주특별자치도,서귀포시,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 케이스",0,0,0,5532,기타,야외,기타야외
2021-01-01 22:08,경기도,성남시중원구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,33,주거,단독주택,다가구주택
2021-01-01 22:16,대전광역시,서구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,음식물,0,0,0,187,기타서비스,기타건축물,기타 건축물
2021-01-01 22:34,경상북도,영주시,기타(쓰레기 화재등),작동기기,기타(작동기기),기계적 요인,기타(기계적요인),합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,1980,기타,야외,기타야외
2021-01-01 22:51,강원도,양구군,기타(쓰레기 화재등),"불꽃, 불티","쓰레기, 논밭두렁",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",0,0,0,0,기타,야외,기타야외
2021-01-01 23:03,경기도,수원시권선구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,"압착,손상에 의한 단락","전기,전자",전선피복,0,0,0,883,주거,공동주택,아파트
2021-01-01 23:49,경기도,광주시,"건축,구조물",작동기기,기타(작동기기),기계적 요인,"과열, 과부하","전기,전자","콘센트, 스위치류",0,0,0,135,주거,공동주택,아파트
2021-01-01 23:50,서울특별시,노원구,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,미확인단락,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,2292,"자동차,철도차량",자동차,오토바이
2021-01-02 00:21,전라남도,여수시,"선박,항공기","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마","종이,목재,건초등","목재, 합판",0,0,0,330,"선박,항공기",선박,어선
2021-01-02 01:18,경상북도,안동시,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,5036,주거,단독주택,단독주택
2021-01-02 01:33,경상북도,울진군,"건축,구조물",미상,미상,미상,미상,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,65,기타서비스,기타건축물,노상매점
2021-01-02 01:56,울산광역시,남구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,음식물,0,0,0,4,주거,공동주택,기타 공동주택
2021-01-02 01:58,경기도,고양시일산동구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,0,0,0,904,생활서비스,음식점,횟집
2021-01-02 03:15,인천광역시,미추홀구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,584,주거,공동주택,다세대주택
2021-01-02 03:17,울산광역시,남구,"자동차,철도차량",작동기기,"불꽃, 스파크, 정전기",전기적 요인,기타(전기적요인),"자동차,철도차량,선박,항공기","기타(자동차,철도차량,선박,항공기)",0,0,0,1100,"자동차,철도차량",자동차,오토바이
2021-01-02 03:20,전라북도,익산시,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",전기적 요인,절연열화에 의한 단락,"전기,전자","전기, 전자기기 절연유",0,0,0,4620,"판매,업무시설",일반업무,금융기관(농협 등)
2021-01-02 03:25,전라남도,목포시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,"기기(전기, 기계 등) 사용.설치부주의","전기,전자","기타(전기,전자)",0,0,0,51,생활서비스,음식점,일식
2021-01-02 04:17,광주광역시,북구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,2072,생활서비스,음식점,한식
2021-01-02 04:19,경기도,남양주시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,20834,기타서비스,기타건축물,기타 건축물
2021-01-02 04:41,충청남도,홍성군,"건축,구조물","불꽃, 불티",비화,부주의,가연물 근접방치,"종이,목재,건초등","기타(종이,목재,건초등)",0,0,0,3000,산업시설,동식물시설,농예용 온실
2021-01-02 05:01,경기도,가평군,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하","전기,전자",전선피복,0,0,0,922,주거,단독주택,단독주택
2021-01-02 05:28,서울특별시,동작구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,음식물,0,0,0,13,생활서비스,음식점,한식
2021-01-02 06:24,충청남도,부여군,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,26658,산업시설,동식물시설,돈사
2021-01-02 06:31,인천광역시,연수구,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"침구,직물류","기타(침구,직물류)",0,0,0,119,주거,기타주택,기타 주택
2021-01-02 06:35,충청남도,아산시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",전기적 요인,기타(전기적요인),"전기,전자","전기, 전자기기 케이스",0,0,0,2952,산업시설,공장시설,식료품공업
2021-01-02 08:20,경상북도,상주시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,2032,주거,기타주택,기타 주택
2021-01-02 08:46,전라남도,고흥군,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",전기적 요인,미확인단락,합성수지,기타(합성수지),0,0,0,462,기타서비스,기타건축물,기타 건축물
2021-01-02 08:53,인천광역시,서구,"건축,구조물",미상,미상,미상,미상,쓰레기류,재활용,0,0,0,9909,주거,공동주택,다세대주택
2021-01-02 09:15,경기도,광주시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,0,0,0,98,주거,공동주택,아파트
2021-01-02 09:27,대구광역시,남구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자","전기, 전자기기 내부배선",1,0,1,4101,생활서비스,음식점,한식
2021-01-02 09:33,인천광역시,미추홀구,"건축,구조물","담뱃불, 라이터불",향불,부주의,"불씨,불꽃,화원방치",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,203,"판매,업무시설",일반업무,오피스텔
2021-01-02 10:03,경기도,가평군,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,기타(부주의),"종이,목재,건초등","목재, 합판",0,0,0,97,"판매,업무시설",숙박시설,펜션
2021-01-02 10:11,강원도,강릉시,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,0,기타,야외,쓰레기
2021-01-02 10:11,경기도,안성시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자","콘센트, 스위치류",0,0,0,1865,운수자동차시설,자동차시설,기타 자동차시설
2021-01-02 10:19,인천광역시,미추홀구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,132,"판매,업무시설",일반업무,오피스텔
2021-01-02 10:29,경상남도,고성군,기타(쓰레기 화재등),작동기기,"불꽃, 스파크, 정전기",전기적 요인,과부하/과전류,"전기,전자","전기, 전자기기 케이스",0,0,0,99,기타,야외,기타야외
2021-01-02 10:34,경기도,의정부시,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",미상,미상,0,0,0,460,주거,공동주택,아파트
2021-01-02 10:37,경기도,포천시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"종이,목재,건초등","목재, 합판",0,0,0,6037,주거,단독주택,단독주택
2021-01-02 10:50,광주광역시,서구,"건축,구조물",화학적 발화열,발효열,화학적 요인,자연발화,쓰레기류,쓰레기,0,0,0,2054,산업시설,위생시설,폐기물처리시설
2021-01-02 10:53,전라남도,고흥군,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,"기기(전기, 기계 등) 사용.설치부주의",합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,838,주거,단독주택,단독주택
