연번,사망,부상,인명피해(명)소계,재산피해소계,화재발생년월일,시도,시군구,읍면동,화재유형,발화열원,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,장소대분류,장소중분류,장소소분류
1,0,0,0,2920,2015-01-01 00:01,경상남도,합천군,청덕면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,주거,단독주택,단독주택
2,0,0,0,0,2015-01-01 00:06,서울특별시,영등포구,여의도동,임야,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,기타,기타,임야,들불,기타 들불
3,0,0,0,137,2015-01-01 00:07,서울특별시,강남구,논현동,"자동차,철도차량","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"침구,직물류","기타(침구,직물류)","자동차,철도차량",자동차,오토바이
4,0,0,0,326,2015-01-01 00:08,서울특별시,도봉구,쌍문동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","기타(종이,목재,건초등)","판매,업무시설",일반업무,일반빌딩
5,0,0,0,0,2015-01-01 00:11,부산광역시,연제구,연산동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,음식물,주거,공동주택,다세대주택
6,0,0,0,19800,2015-01-01 00:13,강원도,원주시,소초면,"자동차,철도차량",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기",벨트,"자동차,철도차량",자동차,승용자동차
7,0,0,0,33,2015-01-01 00:18,경기도,성남시분당구,서현동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,생활서비스,오락시설,PC방(인터넷게임제공업)
8,0,0,0,30800,2015-01-01 00:34,서울특별시,용산구,한남동,"자동차,철도차량",미상(발화원인),미상,미상,미상,미상,미상,"자동차,철도차량",자동차,승용자동차
9,0,0,0,0,2015-01-01 00:38,강원도,강릉시,옥계면,기타(쓰레기 화재등),"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",기타,야외,기타야외
10,0,0,0,575,2015-01-01 00:42,경상남도,창원시 마산회원구,내서읍,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,생활서비스,일상서비스,기타 일상서비스
11,0,0,0,0,2015-01-01 00:55,강원도,양구군,양구읍,기타(쓰레기 화재등),"담뱃불, 라이터불","라이터불, 성냥불",방화의심,방화의심,쓰레기류,기타 쓰레기,기타,야외,쓰레기
12,0,0,0,61,2015-01-01 01:20,경기도,안양시동안구,비산동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,주거,공동주택,아파트
13,0,0,0,0,2015-01-01 01:28,강원도,속초시,금호동,임야,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",건초,임야,들불,기타 들불
14,0,0,0,815,2015-01-01 02:40,경기도,평택시,팽성읍,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,주거,단독주택,단독주택
