연번,사망,부상,인명피해(명)소계,재산피해소계,화재발생년월일,시도,시군구,읍면동,화재유형,발화열원,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,장소대분류,장소중분류,장소소분류
15,0,0,0,53901,2015-01-01 02:44,경기도,화성시,팔탄면,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,산업시설,공장시설,금속기계 및 기구공업
16,0,0,0,4812,2015-01-01 03:03,경상남도,창원시 마산회원구,양덕동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,주거,단독주택,단독주택
17,0,0,0,97,2015-01-01 03:19,경기도,성남시수정구,태평동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,기타,야외,기타야외
18,0,0,0,324905,2015-01-01 03:37,인천광역시,서구,오류동,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,산업시설,공장시설,그 밖의 공업
19,0,0,0,2970,2015-01-01 03:38,경상북도,포항시북구,흥해읍,"자동차,철도차량","마찰, 전도, 복사","마찰열,마찰 스파크",기계적 요인,"과열, 과부하",합성수지,합성고무(타이어),"자동차,철도차량",자동차,승용자동차
20,0,0,0,137,2015-01-01 04:15,부산광역시,해운대구,좌동,"건축,구조물","담뱃불, 라이터불",촛불,부주의,"불씨,불꽃,화원방치",미상,미상,"판매,업무시설",판매시설,상점가
21,0,0,0,11,2015-01-01 04:32,서울특별시,용산구,이태원동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,기타,야외,쓰레기
22,0,0,0,211,2015-01-01 05:09,경기도,성남시수정구,수진동,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",톱밥,생활서비스,음식점,"커피숍,다방,카페(휴게)"
23,0,0,0,11524,2015-01-01 05:23,서울특별시,송파구,방이동,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,주거,공동주택,아파트
24,0,0,0,10066,2015-01-01 05:30,경상북도,포항시북구,중앙동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,생활서비스,오락시설,노래연습장
25,0,0,0,88,2015-01-01 05:42,전라북도,정읍시,수성동,"건축,구조물",화학적 발화열,화학반응열,화학적 요인,기타(화학적요인),쓰레기류,기타 쓰레기,생활서비스,음식점,"치킨,족발"
26,0,0,0,18527,2015-01-01 05:48,경상북도,군위군,군위읍,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,산업시설,동식물시설,기타 동식물시설
27,0,0,0,0,2015-01-01 06:39,강원도,동해시,추암동,기타(쓰레기 화재등),"불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",기타,야외,기타야외
28,0,0,0,385,2015-01-01 06:53,경상북도,포항시남구,호미곶면,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,"자동차,철도차량",자동차,승용자동차
29,0,0,0,1210,2015-01-01 06:54,경상남도,거제시,장목면,임야,"폭발물, 폭죽",폭죽,부주의,폭죽놀이,"종이,목재,건초등",건초,임야,산불,사유림
30,0,0,0,2357,2015-01-01 07:06,경상남도,하동군,악양면,"건축,구조물",작동기기,기타(작동기기),기계적 요인,자동제어 실패,기타,기타,산업시설,동식물시설,기타 동식물시설
31,0,0,0,95,2015-01-01 07:25,울산광역시,울주군,상북면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,가연물 근접방치,"종이,목재,건초등",종이,주거,단독주택,단독주택
32,0,0,0,4675,2015-01-01 07:26,경상북도,포항시북구,죽도동,"건축,구조물",미상(발화원인),미상,미상,미상,"전기,전자",전선피복,생활서비스,위락시설,유흥주점
33,0,0,0,880,2015-01-01 07:35,경기도,수원시팔달구,우만동,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,기타,야외,기타야외
34,0,0,0,594,2015-01-01 07:40,경기도,광주시,직동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,반단선,"전기,전자",전선피복,주거,단독주택,단독주택
35,0,0,0,0,2015-01-01 07:48,전라남도,신안군,안좌면,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",주거,단독주택,기타 단독주택
36,0,0,0,498,2015-01-01 07:57,전라북도,진안군,진안읍,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,기타(부주의),"종이,목재,건초등",종이,주거,단독주택,단독주택
37,0,0,0,893,2015-01-01 08:31,인천광역시,서구,경서동,"건축,구조물","담뱃불, 라이터불",담뱃불,기타,기타,쓰레기류,쓰레기,주거,단독주택,단독주택
38,0,0,0,6954,2015-01-01 08:43,경기도,광주시,목현동,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",산업시설,동식물시설,기타 동식물시설
39,0,0,0,1288,2015-01-01 08:46,인천광역시,부평구,부평동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,"압착,손상에 의한 단락","전기,전자",전선피복,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당)
40,0,0,0,377,2015-01-01 08:51,제주특별자치도,제주시,도두이동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,기타,야외,기타야외
41,0,0,0,458,2015-01-01 08:53,서울특별시,영등포구,대림동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,주거,단독주택,다가구주택
42,0,0,0,825,2015-01-01 09:15,경상남도,사천시,용현면,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"자동차,철도차량,선박,항공기","기타(자동차,철도차량,선박,항공기)","자동차,철도차량",자동차,소형 승합차
43,0,0,0,0,2015-01-01 09:55,경상남도,김해시,대동면,기타(쓰레기 화재등),"불꽃, 불티",굴뚝(연통) 아궁이,부주의,가연물 근접방치,"종이,목재,건초등","목재, 합판",기타,야외,기타야외
44,0,0,0,77,2015-01-01 10:00,대전광역시,중구,부사동,기타(쓰레기 화재등),작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),"전기,전자","전기, 전자기기 기판",기타,야외,기타야외
45,0,0,0,202,2015-01-01 10:09,전라남도,목포시,상동,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하","전기,전자",전선피복,생활서비스,일상서비스,서점
46,0,0,0,739,2015-01-01 10:15,경상남도,사천시,서포면,임야,"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",임야,들불,기타 들불
47,0,0,0,599,2015-01-01 10:32,인천광역시,부평구,산곡동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,"전기,전자",전선피복,주거,공동주택,아파트
48,0,0,0,2867,2015-01-01 10:38,강원도,강릉시,주문진읍,"건축,구조물",작동기기,"기기 전도,복사열",부주의,가연물 근접방치,"종이,목재,건초등",나무,주거,단독주택,단독주택
49,0,0,0,92,2015-01-01 10:50,서울특별시,마포구,서교동,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",전기적 요인,기타(전기적요인),"전기,전자",전선피복,주거,공동주택,연립주택
50,0,0,0,3659,2015-01-01 10:52,경기도,김포시,대곶면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,"전기,전자",전선피복,기타서비스,기타건축물,기타 건축물
51,0,0,0,19210,2015-01-01 10:55,대구광역시,달성군,논공읍,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,산업시설,공장시설,제재 및 목공업
52,0,0,0,3214,2015-01-01 11:02,경기도,화성시,팔탄면,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",전기적 요인,기타(전기적요인),쓰레기류,분진,산업시설,동식물시설,돈사
53,0,0,0,121,2015-01-01 11:03,경기도,평택시,현덕면,기타(쓰레기 화재등),"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","기타(종이,목재,건초등)",기타,야외,기타야외
54,0,0,0,49,2015-01-01 11:26,경상남도,거제시,일운면,기타(쓰레기 화재등),"담뱃불, 라이터불","라이터불, 성냥불",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","목재, 합판",기타,야외,쓰레기
55,0,0,0,1587,2015-01-01 11:39,경기도,하남시,감일동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","목재, 합판",기타서비스,기타건축물,기타 건축물
56,0,0,0,541,2015-01-01 11:45,경기도,부천시오정구,삼정동,기타(쓰레기 화재등),작동기기,기타(작동기기),전기적 요인,"누전,지락","간판,차양막등","기타(간판,차양막등)",기타,야외,기타야외
57,0,0,0,0,2015-01-01 11:46,경상남도,김해시,진례면,기타(쓰레기 화재등),"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치",합성수지,"플라스틱, PVC, 비닐, 장판",기타,야외,공터
58,0,0,0,17192,2015-01-01 11:46,경기도,고양시덕양구,지축동,"건축,구조물","불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마",합성수지,"플라스틱, PVC, 비닐, 장판",주거,기타주택,비닐하우스
59,0,0,0,119,2015-01-01 11:55,경상남도,밀양시,산외면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,가연물 근접방치,"종이,목재,건초등","목재, 합판",기타서비스,기타건축물,기타 건축물
60,0,0,0,1380,2015-01-01 12:06,전라남도,순천시,낙안면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,가연물 근접방치,"종이,목재,건초등",나무,주거,단독주택,단독주택
61,0,0,0,2568,2015-01-01 12:08,경상북도,울진군,북면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,음식물 조리중,"종이,목재,건초등","풀, 나뭇잎",기타서비스,기타건축물,기타 건축물
62,0,0,0,133,2015-01-01 12:14,충청북도,청주시상당구,용정동,"건축,구조물","불꽃, 불티",비화,부주의,"불씨,불꽃,화원방치","침구,직물류",의류,주거,공동주택,기타 공동주택
63,0,0,0,0,2015-01-01 12:20,대구광역시,달서구,진천동,기타(쓰레기 화재등),"마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,음식물,기타,야외,쓰레기
64,1,0,1,41597,2015-01-01 12:22,충청남도,천안시서북구,입장면,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,주거,단독주택,단독주택
65,0,0,0,44266,2015-01-01 12:22,경상남도,진주시,정촌면,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,가연물 근접방치,"종이,목재,건초등","목재, 합판",주거,단독주택,단독주택
66,0,0,0,20458,2015-01-01 12:26,전라남도,순천시,서면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,가연물 근접방치,"종이,목재,건초등",나무,주거,단독주택,단독주택
67,0,0,0,9,2015-01-01 12:46,경기도,안산시상록구,부곡동,기타(쓰레기 화재등),기타(발화원인),기타,자연적인 요인,기타(자연적인요인),식품,음식물,기타,야외,쓰레기
68,0,0,0,0,2015-01-01 12:55,부산광역시,기장군,기장읍,기타(쓰레기 화재등),기타(발화원인),기타,부주의,쓰레기 소각,쓰레기류,기타 쓰레기,기타,야외,쓰레기
69,0,0,0,0,2015-01-01 13:06,대구광역시,북구,국우동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",잔디,기타,야외,기타야외
70,0,0,0,32435,2015-01-01 13:08,경상남도,함안군,대산면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,산업시설,작업장,기타 작업장
71,0,0,0,28939,2015-01-01 13:09,광주광역시,광산구,송정동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,"판매,업무시설",일반업무,기타 일반업무시설
72,0,0,0,0,2015-01-01 13:09,경상남도,김해시,부곡동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",잔디,기타,야외,기타야외
73,0,0,0,55,2015-01-01 13:42,서울특별시,중랑구,상봉동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,기타,야외,쓰레기
74,0,0,0,0,2015-01-01 13:46,전라남도,보성군,벌교읍,기타(쓰레기 화재등),"불꽃, 불티","기타(불꽃,불티)",부주의,기타(부주의),"종이,목재,건초등","풀, 나뭇잎",기타,야외,기타야외
75,0,0,0,74,2015-01-01 14:04,전라남도,담양군,금성면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,기타(부주의),"종이,목재,건초등",건초,주거,단독주택,단독주택
76,0,0,0,38,2015-01-01 14:12,강원도,강릉시,연곡면,기타(쓰레기 화재등),"불꽃, 불티","기타(불꽃,불티)",기타,기타,"종이,목재,건초등",잔디,기타,도로,변압기
77,0,0,0,119,2015-01-01 14:20,서울특별시,영등포구,양평동4가,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","기타(종이,목재,건초등)",주거,단독주택,다가구주택
78,0,0,0,220,2015-01-01 14:22,전라북도,전주시덕진구,우아동3가,"자동차,철도차량",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기",부품,"자동차,철도차량",자동차,승용자동차
79,0,0,0,216,2015-01-01 14:23,경기도,김포시,고촌읍,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",부주의,기타(부주의),기타,기타,기타서비스,기타건축물,기타 건축물
80,0,0,0,5442,2015-01-01 14:30,경상북도,경주시,강동면,"자동차,철도차량","마찰, 전도, 복사","기타(마찰,전도,복사)",기계적 요인,정비불량,"자동차,철도차량,선박,항공기",타이어,"자동차,철도차량",자동차,화물자동차
81,0,0,0,0,2015-01-01 14:35,강원도,강릉시,성산면,임야,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",건초,임야,들불,묘지
82,0,0,0,1824,2015-01-01 15:02,전라남도,순천시,서면,"건축,구조물",미상(발화원인),미상,미상,미상,"종이,목재,건초등",종이,산업시설,창고시설,"창고, 물품저장소"
83,0,0,0,6164,2015-01-01 15:07,인천광역시,남구,문학동,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,주거,공동주택,다세대주택
84,0,0,0,1871,2015-01-01 15:10,전라남도,순천시,월등면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,기타서비스,기타건축물,기타 건축물
85,0,0,0,1100,2015-01-01 15:13,인천광역시,부평구,십정동,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,산업시설,작업장,"고철처리소, 고물상"
86,0,0,0,1294,2015-01-01 15:16,서울특별시,강동구,명일동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),"전기,전자","전기, 전자기기 케이스",주거,공동주택,아파트
87,0,0,0,180,2015-01-01 15:19,인천광역시,부평구,부평동,"건축,구조물",작동기기,기타(작동기기),전기적 요인,과부하/과전류,"전기,전자",전선피복,생활서비스,음식점,호프집
88,0,0,0,10153,2015-01-01 15:20,경상북도,성주군,선남면,"건축,구조물",화학적 발화열,화학반응열,화학적 요인,기타(화학적요인),기타,기타,산업시설,공장시설,그 밖의 공업
89,0,0,0,4388,2015-01-01 15:24,경기도,파주시,문발동,"건축,구조물",작동기기,"기기 전도,복사열",기계적 요인,"과열, 과부하","종이,목재,건초등","목재, 합판",주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당)
90,0,0,0,93,2015-01-01 15:43,전라북도,정읍시,북면,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,가연물 근접방치,"종이,목재,건초등","목재, 합판",산업시설,창고시설,하역장
91,0,0,0,364,2015-01-01 15:44,전라북도,순창군,쌍치면,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",나무,주거,단독주택,단독주택
92,0,0,0,91,2015-01-01 15:47,강원도,원주시,관설동,기타(쓰레기 화재등),작동기기,"기기 전도,복사열",부주의,음식물 조리중,식품,음식물,기타,야외,기타야외
93,0,0,0,162,2015-01-01 16:36,강원도,강릉시,지변동,"건축,구조물",작동기기,기타(작동기기),부주의,기타(부주의),식품,튀김유,생활서비스,음식점,"치킨,족발"
94,0,0,0,2940,2015-01-01 17:12,강원도,춘천시,후평동,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,가연물 근접방치,"종이,목재,건초등","목재, 합판",주거,단독주택,단독주택
95,0,0,0,0,2015-01-01 17:19,경상남도,하동군,화개면,"건축,구조물","불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등",건초,주거,단독주택,단독주택
96,0,0,0,121,2015-01-01 17:25,경상남도,하동군,진교면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,가연물 근접방치,"종이,목재,건초등","목재, 합판",주거,단독주택,단독주택
97,0,0,0,91,2015-01-01 17:34,제주특별자치도,제주시,도남동,"건축,구조물","담뱃불, 라이터불",촛불,부주의,"불씨,불꽃,화원방치",가구,"옷장, 책장 등",주거,공동주택,연립주택
98,0,1,1,689,2015-01-01 17:44,부산광역시,해운대구,재송동,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,주거,공동주택,아파트
99,0,0,0,385,2015-01-01 18:21,서울특별시,강서구,등촌동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,주거,공동주택,아파트
100,0,0,0,1275,2015-01-01 18:25,전라북도,남원시,인월면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,기타(부주의),합성수지,스티로폼,주거,단독주택,단독주택
101,0,0,0,357,2015-01-01 18:35,서울특별시,강남구,율현동,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자",전선피복,"자동차,철도차량",자동차,화물자동차
102,0,0,0,1411,2015-01-01 18:41,서울특별시,강남구,삼성동,"건축,구조물","마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,식품,기타(식품),생활서비스,음식점,양식
103,0,0,0,3025,2015-01-01 18:44,인천광역시,계양구,작전동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,미상,미상,운수자동차시설,자동차시설,카센터
104,0,0,0,1078,2015-01-01 18:57,대구광역시,서구,비산동,"건축,구조물","담뱃불, 라이터불",촛불,부주의,"불씨,불꽃,화원방치",합성수지,"플라스틱, PVC, 비닐, 장판",주거,단독주택,단독주택
105,0,0,0,23821,2015-01-01 19:02,강원도,홍천군,동면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치",합성수지,"플라스틱, PVC, 비닐, 장판",주거,단독주택,단독주택
106,0,0,0,0,2015-01-01 19:08,경상남도,거제시,사등면,기타(쓰레기 화재등),"담뱃불, 라이터불","기타(담뱃불,라이터불)",부주의,쓰레기 소각,쓰레기류,쓰레기,기타,야외,쓰레기
107,0,0,0,957,2015-01-01 19:09,대구광역시,북구,동천동,"자동차,철도차량",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,"자동차,철도차량",자동차,승용자동차
108,0,0,0,2289,2015-01-01 19:10,강원도,인제군,기린면,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,산업시설,작업장,기타 작업장
109,0,0,0,83,2015-01-01 19:14,경기도,포천시,자작동,"건축,구조물",작동기기,전기적 아크(단락),기계적 요인,"과열, 과부하",합성수지,기타(합성수지),기타서비스,기타건축물,기타 건축물
110,0,0,0,1815,2015-01-01 19:25,경기도,광주시,직동,"건축,구조물",작동기기,"기기 전도,복사열",부주의,가연물 근접방치,"침구,직물류","기타(침구,직물류)",산업시설,공장시설,그 밖의 공업
111,0,0,0,45721,2015-01-01 19:25,전라남도,완도군,약산면,"건축,구조물",미상(발화원인),미상,미상,미상,미상,미상,주거,단독주택,단독주택
112,0,0,0,394,2015-01-01 19:42,경기도,안산시상록구,본오동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,기타,야외,쓰레기
113,0,0,0,613,2015-01-01 20:00,경기도,연천군,전곡읍,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치","종이,목재,건초등",건초,산업시설,창고시설,기타 창고
114,0,0,0,305,2015-01-01 20:02,서울특별시,중구,의주로1가,"건축,구조물",작동기기,기타(작동기기),미상,미상,합성수지,"플라스틱, PVC, 비닐, 장판","판매,업무시설",숙박시설,호텔
115,0,0,0,127,2015-01-01 20:08,경기도,수원시영통구,매탄동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,"전기,전자",전선피복,주거,공동주택,아파트
116,0,0,0,0,2015-01-01 20:38,전라남도,순천시,조곡동,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",나무,기타,야외,쓰레기
117,0,0,0,107,2015-01-01 20:49,부산광역시,사상구,감전동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,합성수지,스티로폼,산업시설,창고시설,"창고, 물품저장소"
118,0,0,0,7959,2015-01-01 20:52,충청북도,청주시서원구,사직동,"건축,구조물","불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치",위험물등,경유,주거,단독주택,단독주택
119,0,0,0,0,2015-01-01 21:03,경기도,오산시,내삼미동,기타(쓰레기 화재등),"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,쓰레기류,쓰레기,기타,야외,쓰레기
120,0,0,0,452,2015-01-01 21:06,충청남도,서산시,운산면,"건축,구조물","불꽃, 불티",비화,부주의,가연물 근접방치,"종이,목재,건초등","목재, 합판",주거,단독주택,단독주택
121,0,0,0,96,2015-01-01 21:15,전라북도,순창군,순창읍,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,기타,기타,기타,야외,기타야외
122,0,0,0,0,2015-01-01 21:25,전라남도,광양시,황길동,임야,"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",임야,들불,목초지
123,0,0,0,22,2015-01-01 21:36,전라남도,여수시,교동,기타(쓰레기 화재등),"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","침구,직물류","기타(침구,직물류)",기타,도로,기타도로
124,0,0,0,0,2015-01-01 21:53,울산광역시,남구,삼산동,기타(쓰레기 화재등),미상(발화원인),미상,미상,미상,쓰레기류,쓰레기,기타,야외,쓰레기
125,0,0,0,1340,2015-01-01 22:15,제주특별자치도,제주시,외도이동,"건축,구조물","담뱃불, 라이터불",촛불,부주의,"불씨,불꽃,화원방치",가구,기타(가구),집합시설,종교시설,사찰
126,0,0,0,328,2015-01-01 22:49,서울특별시,서대문구,연희동,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,기타(전기적요인),"침구,직물류","이불(베개,시트)",주거,기타주택,기타 주택
127,0,0,0,566,2015-01-01 23:22,부산광역시,부산진구,당감동,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,생활서비스,음식점,"커피숍,다방,카페"
128,0,0,0,4565,2015-01-01 23:29,강원도,강릉시,입암동,기타(쓰레기 화재등),미상(발화원인),미상,미상,미상,미상,미상,기타,야외,야적장
129,0,0,0,3152,2015-01-02 00:28,경기도,파주시,법원읍,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,"판매,업무시설",일반업무,일반빌딩
130,0,0,0,11,2015-01-02 00:37,전라북도,임실군,신덕면,"건축,구조물","불꽃, 불티",굴뚝(연통) 아궁이,부주의,"불씨,불꽃,화원방치","종이,목재,건초등",종이,주거,단독주택,단독주택
131,0,0,0,107,2015-01-02 00:39,경상남도,창원시 마산회원구,석전동,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치",기타,기타,주거,단독주택,단독주택
