일시,시도,시_군_구,화재유형,발화열원대분류,발화열원소분류,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,인명피해(명)소계,사망,부상,재산피해소계,장소대분류,장소중분류,장소소분류
2023-03-15 03:10,경상북도,구미시,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,1896,주거,공동주택,다세대주택
2023-03-15 04:00,경상북도,청도군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,층간단락,합성수지,"플라스틱, PVC, 비닐, 장판",0,0,0,889,"판매,업무시설",숙박시설,모텔
2023-03-15 04:21,충청남도,아산시,"건축,구조물","불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",종이,0,0,0,770,주거,공동주택,아파트
2023-03-15 05:28,경상북도,청송군,기타(쓰레기 화재등),기타,기타,기타,기타,"종이,목재,건초등",나무,0,0,0,1,기타,야외,기타야외
2023-03-15 05:54,경상북도,영덕군,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자","전기, 전자기기 내부배선",0,0,0,110,생활서비스,음식점,기타 음식점
2023-03-15 05:55,서울특별시,강남구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",부주의,음식물 조리중,식품,음식물,0,0,0,44,생활서비스,음식점,기타 음식점
2023-03-15 06:00,경기도,광주시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 기판",0,0,0,115565,주거,공동주택,다세대주택
2023-03-15 06:50,서울특별시,송파구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,"전기,전자","콘센트, 스위치류",0,0,0,19906,"판매,업무시설",판매시설,할인점(마트)
2023-03-15 07:40,경기도,안성시,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기","기타(자동차,철도차량,선박,항공기)",0,0,0,2310,"자동차,철도차량",자동차,화물자동차
2023-03-15 08:13,강원특별자치도,동해시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,"전기,전자","콘센트, 스위치류",0,0,0,3,주거,공동주택,주상복합아파트
2023-03-15 08:20,경상북도,문경시,"건축,구조물",미상,미상,미상,미상,"종이,목재,건초등",종이,0,0,0,43242,산업시설,창고시설,"창고, 물품저장소"
2023-03-15 08:21,서울특별시,종로구,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,"전기,전자",전선피복,0,0,0,350,생활서비스,음식점,제과점
2023-03-15 09:06,강원특별자치도,춘천시,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,955,생활서비스,일상서비스,편의점
2023-03-15 09:13,서울특별시,마포구,"건축,구조물",화학적 발화열,화학반응열,화학적 요인,자연발화,식품,튀김유,0,0,0,101,생활서비스,음식점,"치킨,족발"
2023-03-15 09:23,경기도,이천시,"건축,구조물","마찰, 전도, 복사","마찰열,마찰 스파크",기타,기타,위험물등,기타 제4류 위험물,0,0,0,53383,산업시설,공장시설,인쇄업
2023-03-15 09:32,전북특별자치도,임실군,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",부주의,"용접, 절단, 연마",합성수지,발포폴리스티렌,0,0,0,249,기타서비스,기타건축물,기타 건축물
2023-03-15 09:47,경기도,이천시,"자동차,철도차량","불꽃, 불티","쓰레기, 논밭두렁",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",0,0,0,12936,"자동차,철도차량",자동차,승용자동차
2023-03-15 09:52,경상남도,사천시,"건축,구조물",작동기기,"불꽃, 스파크, 정전기",기계적 요인,기타(기계적요인),기타,기타,0,0,0,20638,산업시설,공장시설,그 밖의 공업
2023-03-15 09:53,경상남도,김해시,"건축,구조물",미상,미상,미상,미상,미상,미상,0,0,0,376,주거,공동주택,주상복합아파트
2023-03-15 09:55,전라남도,목포시,"건축,구조물",작동기기,전기적 아크(단락),전기적 요인,미확인단락,합성수지,기타(합성수지),0,0,0,6565,주거,공동주택,아파트
2023-03-15 10:11,경기도,고양시덕양구,"자동차,철도차량","담뱃불, 라이터불","기타(담뱃불,라이터불)",부주의,담배꽁초,"종이,목재,건초등",종이,1,0,1,2420,"자동차,철도차량",자동차,화물자동차
2023-03-15 10:13,전북특별자치도,정읍시,기타(쓰레기 화재등),"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등",종이,0,0,0,316,기타,야외,쓰레기
2023-03-15 10:16,경기도,수원시권선구,기타(쓰레기 화재등),"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,0,0,0,35,기타,야외,쓰레기
2023-03-15 10:22,전라남도,영광군,"건축,구조물","담뱃불, 라이터불","라이터불, 성냥불",부주의,"논,임야태우기","종이,목재,건초등","풀, 나뭇잎",0,0,0,1334,기타서비스,기타건축물,기타 건축물
2023-03-15 10:26,서울특별시,노원구,"건축,구조물","마찰, 전도, 복사","기타(마찰,전도,복사)",부주의,"기기(전기, 기계 등) 사용.설치부주의","침구,직물류","이불(베개,시트)",0,0,0,2956,주거,공동주택,아파트
2023-03-15 10:34,경상남도,거창군,기타(쓰레기 화재등),"불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마","간판,차양막등","기타(간판,차양막등)",0,0,0,132,기타,야외,기타야외
2023-03-15 10:47,경기도,화성시,"건축,구조물","담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,0,0,0,3221,산업시설,공장시설,그 밖의 공업
2023-03-15 10:56,전라남도,무안군,임야,"불꽃, 불티","쓰레기, 논밭두렁",부주의,"논,임야태우기","종이,목재,건초등",건초,0,0,0,1,임야,들불,논밭두렁
2023-03-15 11:08,경상북도,예천군,기타(쓰레기 화재등),"담뱃불, 라이터불","라이터불, 성냥불",부주의,쓰레기 소각,쓰레기류,쓰레기,0,0,0,711,기타,도로,기타도로
2023-03-15 11:12,경상북도,청도군,기타(쓰레기 화재등),"불꽃, 불티",비화,부주의,쓰레기 소각,미상,미상,0,0,0,459,기타,야외,기타야외
2023-03-15 11:17,전라남도,장성군,임야,"불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마","종이,목재,건초등",잔디,0,0,0,550,임야,들불,기타 들불
2023-03-15 11:24,강원특별자치도,삼척시,"자동차,철도차량",작동기기,"기기 전도,복사열,기기발열",기계적 요인,노후,"자동차,철도차량,선박,항공기",부품,0,0,0,990,"자동차,철도차량",자동차,승용자동차
2023-03-15 11:27,대구광역시,달서구,"건축,구조물",작동기기,"기기 전도,복사열,기기발열",기계적 요인,"과열, 과부하",합성수지,기타(합성수지),0,0,0,110,주거,단독주택,다가구주택
